,carrier,p_nom,bus,year_removed
DE0 11 coal,coal,336.0,DE0 11,2067.0
DE0 11 coal,coal,433.0,DE0 11,2055.0
DE0 A5 coal,coal,717.0,DE0 A5,2031.0
DE0 30 coal,coal,89.0,DE0 30,2040.0
DE0 30 coal,coal,282.0,DE0 30,2037.0
DE0 30 coal,coal,282.0,DE0 30,2038.0
DE0 C0 coal,coal,726.0,DE0 C0,2033.0
DE0 91 coal,coal,43.3,DE0 91,2034.0
DE0 93 coal,coal,119.0,DE0 93,2039.0
DE0 93 coal,coal,303.0,DE0 93,2029.0
DE0 93 coal,coal,350.0,DE0 93,2039.0
DE0 25 coal,coal,17.4,DE0 25,2032.0
DE0 F0 coal,coal,31.0,DE0 F0,2042.0
DE0 F0 coal,coal,33.0,DE0 F0,2039.0
DE0 F0 coal,coal,33.0,DE0 F0,2035.0
DE0 A3 coal,coal,70.0,DE0 A3,2035.0
DE0 71 coal,coal,510.0,DE0 71,2042.0
DE0 60 coal,coal,194.0,DE0 60,2043.0
DE0 F0 coal,coal,123.0,DE0 F0,2032.0
DE0 F0 coal,coal,137.0,DE0 F0,2031.0
DE0 A5 coal,coal,763.7,DE0 A5,2064.0
DE0 92 coal,coal,136.0,DE0 92,2039.0
DE0 92 coal,coal,136.0,DE0 92,2039.0
DE0 11 coal,coal,125.0,DE0 11,2035.0
DE0 11 coal,coal,125.0,DE0 11,2036.0
DE0 11 coal,coal,778.0,DE0 11,2055.0
DE0 91 coal,coal,690.0,DE0 91,2049.0
DE0 A3 coal,coal,794.0,DE0 A3,2055.0
DE0 B3 coal,coal,13.4,DE0 B3,2046.0
DE0 12 coal,coal,517.0,DE0 12,2055.0
DE0 12 coal,coal,834.0,DE0 12,2064.0
DE0 12 coal,coal,255.0,DE0 12,2055.0
DE0 12 coal,coal,425.0,DE0 12,2032.0
DE0 12 coal,coal,435.0,DE0 12,2043.0
DE0 12 coal,coal,843.0,DE0 12,2065.0
DE0 A3 coal,coal,55.56,DE0 A3,2021.0
DE0 A3 coal,coal,68.4,DE0 A3,2033.0
DE0 71 coal,coal,54.0,DE0 71,2040.0
DE0 A4 coal,coal,875.0,DE0 A4,2037.0
DE0 12 coal,coal,26.9,DE0 12,2040.0
DE0 C0 coal,coal,655.6,DE0 C0,2026.0
DE0 80 coal,coal,514.0,DE0 80,2044.0
DE0 C0 coal,coal,50.0,DE0 C0,2058.0
DE0 26 coal,coal,24.79,DE0 26,2020.0
DE0 11 coal,coal,45.0,DE0 11,2032.0
DE0 11 coal,coal,45.0,DE0 11,2034.0
DE0 21 coal,coal,332.7,DE0 21,2041.0
DE0 C0 coal,coal,179.0,DE0 C0,2032.0
DE0 C0 coal,coal,211.0,DE0 C0,2039.0
DE0 11 coal,coal,96.0,DE0 11,2034.0
DE0 11 coal,coal,148.0,DE0 11,2037.0
DE0 94 coal,coal,757.0,DE0 94,2026.0
DE0 21 coal,coal,472.0,DE0 21,2055.0
DE0 14 coal,coal,20.7,DE0 14,2042.0
DE0 A5 coal,coal,735.0,DE0 A5,2063.0
DE0 60 coal,coal,800.0,DE0 60,2065.0
DE0 60 coal,coal,800.0,DE0 60,2065.0
DE0 94 coal,coal,731.0,DE0 94,2065.0
DE0 A1 coal,coal,370.0,DE0 A1,2038.0
DE0 A1 coal,coal,725.0,DE0 A1,2063.0
DE0 71 coal,coal,61.5,DE0 71,2038.0
DE0 71 coal,coal,61.5,DE0 71,2039.0
DE0 A3 coal,coal,449.0,DE0 A3,2059.0
DE0 71 coal,coal,66.0,DE0 71,2039.0
DE0 A1 coal,coal,110.0,DE0 A1,2021.0
DE0 73 coal,coal,61.5,DE0 73,2050.0
DE0 91 coal,coal,61.5,DE0 91,2050.0
DE0 73 coal,coal,138.5,DE0 73,2035.0
DE0 91 coal,coal,138.5,DE0 91,2035.0
