,carrier,p_nom,bus
DE0 12 CCGT,CCGT,444.50209369,DE0 12
DE0 13 CCGT,CCGT,50.3685092,DE0 13
DE0 14 CCGT,CCGT,12.340284754,DE0 14
DE0 21 CCGT,CCGT,2835.998910506,DE0 21
DE0 22 CCGT,CCGT,149.216708505,DE0 22
DE0 25 CCGT,CCGT,224.51762975900002,DE0 25
DE0 26 CCGT,CCGT,338.72822437,DE0 26
DE0 30 CCGT,CCGT,559.09045212,DE0 30
DE0 40 CCGT,CCGT,355.09798986,DE0 40
DE0 60 CCGT,CCGT,159.92001671,DE0 60
DE0 71 CCGT,CCGT,1109.7441789490001,DE0 71
DE0 73 CCGT,CCGT,98.21859294,DE0 73
DE0 80 CCGT,CCGT,230.43592959,DE0 80
DE0 91 CCGT,CCGT,118.36599662,DE0 91
DE0 92 CCGT,CCGT,289.6189279,DE0 92
DE0 93 CCGT,CCGT,792.422570989,DE0 93
DE0 94 CCGT,CCGT,2313.17378501,DE0 94
DE0 A1 CCGT,CCGT,1654.353684674,DE0 A1
DE0 A2 CCGT,CCGT,2888.759923893,DE0 A2
DE0 A3 CCGT,CCGT,131.08404519299998,DE0 A3
DE0 A4 CCGT,CCGT,231.69514232,DE0 A4
DE0 A5 CCGT,CCGT,3463.086850046,DE0 A5
DE0 B1 CCGT,CCGT,48.857453924,DE0 B1
DE0 B3 CCGT,CCGT,1217.029103545,DE0 B3
DE0 C0 CCGT,CCGT,94.44095475,DE0 C0
DE0 D2 CCGT,CCGT,327.3953098,DE0 D2
DE0 D4 CCGT,CCGT,16.508278890299998,DE0 D4
DE0 D5 CCGT,CCGT,210.28852591,DE0 D5
DE0 E0 CCGT,CCGT,812.9477384879999,DE0 E0
DE0 F0 CCGT,CCGT,98.21859294,DE0 F0
DE0 G0 CCGT,CCGT,453.442504073,DE0 G0
DE0 11 OCGT,OCGT,542.972529176,DE0 11
DE0 12 OCGT,OCGT,58.553391945,DE0 12
DE0 13 OCGT,OCGT,37.7763819,DE0 13
DE0 14 OCGT,OCGT,16.873450582,DE0 14
DE0 21 OCGT,OCGT,544.7224616497559,DE0 21
DE0 22 OCGT,OCGT,52.131407022000005,DE0 22
DE0 23 OCGT,OCGT,16.747529309,DE0 23
DE0 26 OCGT,OCGT,71.77512561,DE0 26
DE0 27 OCGT,OCGT,38.657830811,DE0 27
DE0 30 OCGT,OCGT,569.16415396,DE0 30
DE0 40 OCGT,OCGT,334.069137269,DE0 40
DE0 71 OCGT,OCGT,548.009380096,DE0 71
DE0 73 OCGT,OCGT,62.9606365,DE0 73
DE0 80 OCGT,OCGT,170.875167461,DE0 80
DE0 91 OCGT,OCGT,36.769011715999994,DE0 91
DE0 92 OCGT,OCGT,145.816834134,DE0 92
DE0 93 OCGT,OCGT,38.657830811,DE0 93
DE0 94 OCGT,OCGT,583.8717586463999,DE0 94
DE0 A1 OCGT,OCGT,1565.453265936,DE0 A1
DE0 A2 OCGT,OCGT,642.324413573,DE0 A2
DE0 A3 OCGT,OCGT,13.977261303,DE0 A3
DE0 A4 OCGT,OCGT,60.44221104,DE0 A4
DE0 A5 OCGT,OCGT,446.01314896599996,DE0 A5
DE0 B3 OCGT,OCGT,135.491289748,DE0 B3
DE0 C0 OCGT,OCGT,100.862939673,DE0 C0
DE0 D2 OCGT,OCGT,43.190996639,DE0 D2
DE0 D4 OCGT,OCGT,40.924413725,DE0 D4
DE0 D5 OCGT,OCGT,58.679313218,DE0 D5
DE0 E0 OCGT,OCGT,207.644179177,DE0 E0
DE0 F0 OCGT,OCGT,27.073073695,DE0 F0
DE0 G0 OCGT,OCGT,1133.669220819,DE0 G0
