,bus,carrier,p_nom,year_removed
DE0 11 onwind,DE0 11,onwind,3.6,2044
DE0 11 solar,DE0 11,solar,135.10785,2044
DE0 12 solar,DE0 12,solar,80.243746,2044
DE0 13 onwind,DE0 13,onwind,0.0008,2044
DE0 13 solar,DE0 13,solar,76.293069,2044
DE0 14 onwind,DE0 14,onwind,10.350000000000001,2044
DE0 14 solar,DE0 14,solar,121.092259,2044
DE0 21 onwind,DE0 21,onwind,2.4,2044
DE0 21 solar,DE0 21,solar,121.281199,2044
DE0 22 onwind,DE0 22,onwind,4.7015,2044
DE0 22 solar,DE0 22,solar,139.789908,2044
DE0 23 onwind,DE0 23,onwind,0.001,2044
DE0 23 solar,DE0 23,solar,71.089463,2044
DE0 24 onwind,DE0 24,onwind,0.0308,2044
DE0 24 solar,DE0 24,solar,83.087002,2044
DE0 25 onwind,DE0 25,onwind,3.3,2044
DE0 25 solar,DE0 25,solar,73.539871,2044
DE0 26 solar,DE0 26,solar,77.189526,2044
DE0 27 solar,DE0 27,solar,123.982613,2044
DE0 30 solar,DE0 30,solar,7.342036,2044
DE0 40 onwind,DE0 40,onwind,146.31,2044
DE0 40 solar,DE0 40,solar,175.933361,2044
DE0 60 solar,DE0 60,solar,4.009505,2044
DE0 71 solar,DE0 71,solar,52.208953,2044
DE0 72 onwind,DE0 72,onwind,6.9,2044
DE0 72 solar,DE0 72,solar,26.873843,2044
DE0 73 onwind,DE0 73,onwind,3.45,2044
DE0 73 solar,DE0 73,solar,63.257403,2044
DE0 80 offwind-ac,DE0 80,offwind-ac,6.33,2044
DE0 80 offwind-dc,DE0 80,offwind-dc,8.4,2044
DE0 80 onwind,DE0 80,onwind,97.2,2044
DE0 80 solar,DE0 80,solar,152.518438,2044
DE0 91 onwind,DE0 91,onwind,18.85,2044
DE0 91 solar,DE0 91,solar,36.62755,2044
DE0 92 onwind,DE0 92,onwind,23.7,2044
DE0 92 solar,DE0 92,solar,53.63533,2044
DE0 93 onwind,DE0 93,onwind,87.88,2044
DE0 93 solar,DE0 93,solar,60.947480999999996,2044
DE0 94 offwind-ac,DE0 94,offwind-ac,226.98000000000002,2044
DE0 94 offwind-dc,DE0 94,offwind-dc,248.51,2044
DE0 94 onwind,DE0 94,onwind,48.64,2044
DE0 94 solar,DE0 94,solar,161.45783600000001,2044
DE0 A1 onwind,DE0 A1,onwind,15.15,2044
DE0 A1 solar,DE0 A1,solar,76.702653,2044
DE0 A2 onwind,DE0 A2,onwind,28.2,2044
DE0 A2 solar,DE0 A2,solar,66.555596,2044
DE0 A3 onwind,DE0 A3,onwind,62.25,2044
DE0 A3 solar,DE0 A3,solar,128.984292,2044
DE0 A4 onwind,DE0 A4,onwind,11.75,2044
DE0 A4 solar,DE0 A4,solar,77.052585,2044
DE0 A5 solar,DE0 A5,solar,68.392244,2044
DE0 B1 onwind,DE0 B1,onwind,8.25,2044
DE0 B1 solar,DE0 B1,solar,44.756139,2044
DE0 B2 onwind,DE0 B2,onwind,64.5,2044
DE0 B2 solar,DE0 B2,solar,21.282007,2044
DE0 B3 onwind,DE0 B3,onwind,42.7,2044
DE0 B3 solar,DE0 B3,solar,43.2113845,2044
DE0 C0 onwind,DE0 C0,onwind,6.9,2044
DE0 C0 solar,DE0 C0,solar,19.204911,2044
DE0 D2 onwind,DE0 D2,onwind,6.903499999999999,2044
DE0 D2 solar,DE0 D2,solar,67.931403,2044
DE0 D4 onwind,DE0 D4,onwind,6.9025,2044
DE0 D4 solar,DE0 D4,solar,57.940228,2044
DE0 D5 solar,DE0 D5,solar,45.213883,2044
DE0 E0 onwind,DE0 E0,onwind,26.52,2044
DE0 E0 solar,DE0 E0,solar,200.819627,2044
DE0 F0 offwind-ac,DE0 F0,offwind-ac,115.6,2044
DE0 F0 offwind-dc,DE0 F0,offwind-dc,85.06,2044
DE0 F0 onwind,DE0 F0,onwind,7.2515,2044
DE0 F0 solar,DE0 F0,solar,71.704636,2044
DE0 G0 onwind,DE0 G0,onwind,42.0,2044
DE0 G0 solar,DE0 G0,solar,155.330033,2044
DE0 11 onwind,DE0 11,onwind,51.16,2043
DE0 11 solar,DE0 11,solar,113.776802,2043
DE0 12 onwind,DE0 12,onwind,27.3,2043
DE0 12 solar,DE0 12,solar,57.057059,2043
DE0 13 onwind,DE0 13,onwind,6.0,2043
DE0 13 solar,DE0 13,solar,69.282067,2043
DE0 14 onwind,DE0 14,onwind,14.4,2043
DE0 14 solar,DE0 14,solar,96.83105,2043
DE0 21 solar,DE0 21,solar,135.656281,2043
DE0 22 onwind,DE0 22,onwind,7.202,2043
DE0 22 solar,DE0 22,solar,124.106685,2043
DE0 23 onwind,DE0 23,onwind,3.05,2043
DE0 23 solar,DE0 23,solar,72.918972,2043
DE0 24 solar,DE0 24,solar,63.808986,2043
DE0 25 onwind,DE0 25,onwind,9.6,2043
DE0 25 solar,DE0 25,solar,104.52499399999999,2043
DE0 26 onwind,DE0 26,onwind,0.00048,2043
DE0 26 solar,DE0 26,solar,53.976118,2043
DE0 27 onwind,DE0 27,onwind,3.63,2043
DE0 27 solar,DE0 27,solar,75.929793,2043
DE0 30 onwind,DE0 30,onwind,0.025,2043
DE0 30 solar,DE0 30,solar,6.896107,2043
DE0 40 onwind,DE0 40,onwind,241.9,2043
DE0 40 solar,DE0 40,solar,322.646593,2043
DE0 60 onwind,DE0 60,onwind,11.399999999999999,2043
DE0 60 solar,DE0 60,solar,3.288584,2043
DE0 71 onwind,DE0 71,onwind,95.45,2043
DE0 71 solar,DE0 71,solar,53.407172,2043
DE0 72 onwind,DE0 72,onwind,39.95,2043
DE0 72 solar,DE0 72,solar,19.810467,2043
DE0 73 onwind,DE0 73,onwind,93.28,2043
DE0 73 solar,DE0 73,solar,37.746853,2043
DE0 80 onwind,DE0 80,onwind,146.2,2043
DE0 80 solar,DE0 80,solar,217.063214,2043
DE0 91 onwind,DE0 91,onwind,29.25,2043
DE0 91 solar,DE0 91,solar,21.855399,2043
DE0 92 onwind,DE0 92,onwind,51.6,2043
DE0 92 solar,DE0 92,solar,38.501065,2043
DE0 93 onwind,DE0 93,onwind,113.1799,2043
DE0 93 solar,DE0 93,solar,45.589702,2043
DE0 94 offwind-ac,DE0 94,offwind-ac,342.20000000000005,2043
DE0 94 offwind-dc,DE0 94,offwind-dc,292.40000000000003,2043
DE0 94 onwind,DE0 94,onwind,514.8698,2043
DE0 94 solar,DE0 94,solar,87.556259,2043
DE0 A1 onwind,DE0 A1,onwind,45.9,2043
DE0 A1 solar,DE0 A1,solar,48.414998,2043
DE0 A2 onwind,DE0 A2,onwind,49.71,2043
DE0 A2 solar,DE0 A2,solar,47.579671,2043
DE0 A3 onwind,DE0 A3,onwind,142.871,2043
DE0 A3 solar,DE0 A3,solar,75.342123,2043
DE0 A4 onwind,DE0 A4,onwind,68.95,2043
DE0 A4 solar,DE0 A4,solar,53.865338,2043
DE0 A5 onwind,DE0 A5,onwind,32.325,2043
DE0 A5 solar,DE0 A5,solar,47.026164,2043
DE0 B1 onwind,DE0 B1,onwind,20.96,2043
DE0 B1 solar,DE0 B1,solar,38.614821,2043
DE0 B2 onwind,DE0 B2,onwind,71.375,2043
DE0 B2 solar,DE0 B2,solar,30.758255000000002,2043
DE0 B3 onwind,DE0 B3,onwind,69.7524,2043
DE0 B3 solar,DE0 B3,solar,36.116509,2043
DE0 C0 onwind,DE0 C0,onwind,57.0,2043
DE0 C0 solar,DE0 C0,solar,15.587708,2043
DE0 D2 onwind,DE0 D2,onwind,28.665,2043
DE0 D2 solar,DE0 D2,solar,62.247101,2043
DE0 D4 onwind,DE0 D4,onwind,6.9,2043
DE0 D4 solar,DE0 D4,solar,46.729562,2043
DE0 D5 onwind,DE0 D5,onwind,9.95,2043
DE0 D5 solar,DE0 D5,solar,43.917353,2043
DE0 E0 onwind,DE0 E0,onwind,20.900000000000002,2043
DE0 E0 solar,DE0 E0,solar,249.789893,2043
DE0 F0 offwind-ac,DE0 F0,offwind-ac,151.2,2043
DE0 F0 offwind-dc,DE0 F0,offwind-dc,189.0,2043
DE0 F0 onwind,DE0 F0,onwind,130.8883,2043
DE0 F0 solar,DE0 F0,solar,93.759388,2043
DE0 G0 onwind,DE0 G0,onwind,111.301,2043
DE0 G0 solar,DE0 G0,solar,135.108053,2043
DE0 11 onwind,DE0 11,onwind,254.13,2042
DE0 11 solar,DE0 11,solar,59.001318,2042
DE0 12 onwind,DE0 12,onwind,24.0,2042
DE0 12 solar,DE0 12,solar,34.847024,2042
DE0 13 onwind,DE0 13,onwind,56.105999999999995,2042
DE0 13 solar,DE0 13,solar,42.957639,2042
DE0 14 onwind,DE0 14,onwind,18.6,2042
DE0 14 solar,DE0 14,solar,46.585673,2042
DE0 21 onwind,DE0 21,onwind,52.8,2042
DE0 21 solar,DE0 21,solar,77.182631,2042
DE0 22 onwind,DE0 22,onwind,2.7847999999999997,2042
DE0 22 solar,DE0 22,solar,80.070292,2042
DE0 23 onwind,DE0 23,onwind,4.6,2042
DE0 23 solar,DE0 23,solar,37.164319,2042
