,p_nom,carrier,bus
DE0 11 biomass,238.0396,biomass,DE0 11
DE0 12 biomass,132.78785,biomass,DE0 12
DE0 13 biomass,178.905,biomass,DE0 13
DE0 14 biomass,302.5465,biomass,DE0 14
DE0 21 biomass,415.45056,biomass,DE0 21
DE0 22 biomass,235.1298,biomass,DE0 22
DE0 23 biomass,231.76826,biomass,DE0 23
DE0 24 biomass,124.7547,biomass,DE0 24
DE0 25 biomass,267.13445,biomass,DE0 25
DE0 26 biomass,96.67872,biomass,DE0 26
DE0 27 biomass,351.50876,biomass,DE0 27
DE0 30 biomass,42.2397,biomass,DE0 30
DE0 40 biomass,441.5655,biomass,DE0 40
DE0 60 biomass,38.6819,biomass,DE0 60
DE0 71 biomass,127.26382,biomass,DE0 71
DE0 72 biomass,50.5607,biomass,DE0 72
DE0 73 biomass,104.0968,biomass,DE0 73
DE0 80 biomass,361.99885,biomass,DE0 80
DE0 91 biomass,162.1305,biomass,DE0 91
DE0 92 biomass,303.853475,biomass,DE0 92
DE0 93 biomass,507.32059,biomass,DE0 93
DE0 94 biomass,644.49334,biomass,DE0 94
DE0 A1 biomass,136.912311,biomass,DE0 A1
DE0 A2 biomass,70.60612,biomass,DE0 A2
DE0 A3 biomass,235.3209,biomass,DE0 A3
DE0 A4 biomass,226.06826,biomass,DE0 A4
DE0 A5 biomass,184.147,biomass,DE0 A5
DE0 B1 biomass,71.7423,biomass,DE0 B1
DE0 B2 biomass,51.4679,biomass,DE0 B2
DE0 B3 biomass,48.205,biomass,DE0 B3
DE0 C0 biomass,12.1564,biomass,DE0 C0
DE0 D2 biomass,91.91969999999999,biomass,DE0 D2
DE0 D4 biomass,88.4235,biomass,DE0 D4
DE0 D5 biomass,96.536,biomass,DE0 D5
DE0 E0 biomass,483.15266,biomass,DE0 E0
DE0 F0 biomass,533.4813,biomass,DE0 F0
DE0 G0 biomass,261.5376,biomass,DE0 G0
