,p_nom,carrier,bus
DE0 0 biomass,11.63565,biomass,DE0 0
DE0 1 biomass,33.617,biomass,DE0 1
DE0 10 biomass,94.204,biomass,DE0 10
DE0 100 biomass,88.6983,biomass,DE0 100
DE0 101 biomass,38.008,biomass,DE0 101
DE0 102 biomass,89.2358,biomass,DE0 102
DE0 103 biomass,80.8565,biomass,DE0 103
DE0 104 biomass,85.26910000000001,biomass,DE0 104
DE0 105 biomass,12.8768,biomass,DE0 105
DE0 106 biomass,17.004,biomass,DE0 106
DE0 107 biomass,16.7018,biomass,DE0 107
DE0 108 biomass,87.5788,biomass,DE0 108
DE0 109 biomass,10.659,biomass,DE0 109
DE0 11 biomass,58.2558,biomass,DE0 11
DE0 110 biomass,52.6774,biomass,DE0 110
DE0 111 biomass,124.7685,biomass,DE0 111
DE0 112 biomass,145.303,biomass,DE0 112
DE0 113 biomass,70.8882,biomass,DE0 113
DE0 114 biomass,12.369499999999999,biomass,DE0 114
DE0 116 biomass,102.0992,biomass,DE0 116
DE0 117 biomass,71.6885,biomass,DE0 117
DE0 118 biomass,27.06505,biomass,DE0 118
DE0 119 biomass,133.46585,biomass,DE0 119
DE0 12 biomass,21.9688,biomass,DE0 12
DE0 120 biomass,119.6707,biomass,DE0 120
DE0 121 biomass,45.3904,biomass,DE0 121
DE0 122 biomass,26.3452,biomass,DE0 122
DE0 123 biomass,11.121500000000001,biomass,DE0 123
DE0 124 biomass,31.258,biomass,DE0 124
DE0 125 biomass,29.021900000000002,biomass,DE0 125
DE0 126 biomass,13.634911,biomass,DE0 126
DE0 127 biomass,96.0895,biomass,DE0 127
DE0 13 biomass,43.165000000000006,biomass,DE0 13
DE0 14 biomass,31.639,biomass,DE0 14
DE0 15 biomass,121.83500000000001,biomass,DE0 15
DE0 16 biomass,79.87989999999999,biomass,DE0 16
DE0 17 biomass,123.8242,biomass,DE0 17
DE0 18 biomass,65.9706,biomass,DE0 18
DE0 19 biomass,142.2835,biomass,DE0 19
DE0 2 biomass,129.843415,biomass,DE0 2
DE0 20 biomass,26.41802,biomass,DE0 20
