,carrier,p_nom,bus,yearcommissioned,retrofit,year_removed
DE0 50 ror,ror,146.0,DE0 50,1978,1978.0,2078
DE0 7 ror,ror,46.7,DE0 7,2010,2010.0,2110
DE0 89 ror,ror,12.0,DE0 89,1981,1981.0,2081
DE0 107 ror,ror,14.0,DE0 107,1938,1938.0,2038
DE0 89 ror,ror,12.2,DE0 89,1980,1980.0,2080
DE0 105 ror,ror,12.1,DE0 105,1985,1985.0,2085
DE0 120 ror,ror,10.9,DE0 120,1956,1956.0,2056
DE0 50 ror,ror,65.0,DE0 50,1918,1926.0,2026
DE0 60 ror,ror,35.1,DE0 60,1960,1960.0,2060
DE0 30 ror,ror,23.2,DE0 30,1955,1955.0,2055
DE0 70 ror,ror,23.3,DE0 70,1992,1992.0,2092
DE0 24 ror,ror,10.1,DE0 24,1966,1966.0,2066
DE0 17 ror,ror,25.0,DE0 17,1930,1930.0,2030
DE0 89 ror,ror,12.4,DE0 89,1983,1983.0,2083
DE0 91 ror,ror,13.6,DE0 91,1964,1964.0,2064
DE0 91 ror,ror,20.0,DE0 91,1965,1965.0,2065
DE0 76 ror,ror,14.2,DE0 76,1924,1924.0,2024
DE0 30 ror,ror,21.5,DE0 30,1994,1994.0,2094
DE0 60 ror,ror,24.1,DE0 60,1938,1938.0,2038
DE0 60 ror,ror,25.0,DE0 60,1938,1938.0,2038
DE0 105 ror,ror,18.8,DE0 105,1962,1962.0,2062
DE0 103 ror,ror,85.3,DE0 103,1924,1924.0,2024
DE0 60 ror,ror,92.0,DE0 60,1960,1983.0,2083
DE0 52 ror,ror,20.0,DE0 52,1962,1962.0,2062
DE0 30 ror,ror,53.7,DE0 30,1927,1927.0,2027
DE0 30 ror,ror,132.059,DE0 30,1955,1955.0,2055
DE0 70 ror,ror,19.8,DE0 70,1971,1971.0,2071
DE0 30 ror,ror,12.6,DE0 30,1984,1984.0,2084
DE0 52 ror,ror,16.0,DE0 52,1951,1951.0,2051
DE0 89 ror,ror,16.7,DE0 89,1975,1975.0,2075
DE0 120 ror,ror,11.3,DE0 120,1922,1922.0,2022
DE0 60 ror,ror,19.4,DE0 60,1977,1977.0,2077
DE0 30 ror,ror,86.4,DE0 30,1965,1965.0,2065
DE0 89 ror,ror,12.1,DE0 89,1984,1984.0,2084
DE0 24 ror,ror,19.2,DE0 24,1971,1971.0,2071
DE0 37 ror,ror,12.6,DE0 37,1994,1994.0,2094
DE0 17 ror,ror,22.3,DE0 17,1929,1929.0,2029
DE0 19 ror,ror,16.4,DE0 19,1965,1965.0,2065
DE0 4 ror,ror,12.0,DE0 4,1978,1978.0,2078
DE0 120 ror,ror,11.9,DE0 120,1954,1954.0,2054
DE0 60 ror,ror,11.2,DE0 60,1924,1924.0,2024
DE0 60 ror,ror,12.8,DE0 60,1955,1955.0,2055
DE0 103 ror,ror,16.2,DE0 103,1951,1951.0,2051
DE0 91 ror,ror,16.4,DE0 91,1966,1966.0,2066
DE0 76 ror,ror,50.0,DE0 76,1953,1953.0,2053
DE0 24 ror,ror,10.3,DE0 24,1967,1967.0,2067
DE0 30 ror,ror,12.6,DE0 30,1988,1988.0,2088
DE0 40 ror,ror,10.1,DE0 40,1965,1965.0,2065
DE0 91 ror,ror,16.4,DE0 91,1963,1963.0,2063
DE0 60 ror,ror,38.2,DE0 60,1970,1970.0,2070
DE0 69 ror,ror,11.0,DE0 69,1927,1927.0,2027
DE0 105 ror,ror,24.0,DE0 105,1962,1962.0,2062
DE0 103 ror,ror,15.0,DE0 103,1957,1957.0,2057
DE0 89 ror,ror,16.6,DE0 89,1960,1960.0,2060
DE0 30 ror,ror,124.4,DE0 30,1944,1944.0,2044
DE0 17 ror,ror,26.0,DE0 17,1925,1925.0,2025
DE0 120 ror,ror,9.7,DE0 120,1952,1952.0,2052
DE0 91 ror,ror,18.4,DE0 91,1966,1966.0,2066
DE0 70 ror,ror,23.7,DE0 70,1970,1970.0,2070
DE0 120 ror,ror,18.9,DE0 120,1968,1968.0,2068
DE0 21 ror,ror,15.0,DE0 21,1965,1965.0,2065
DE0 70 ror,ror,20.2,DE0 70,1969,1969.0,2069
DE0 7 ror,ror,80.62,DE0 7,1934,1934.0,2034
DE0 122 ror,ror,17.8,DE0 122,1951,1951.0,2051
DE0 30 ror,ror,45.0,DE0 30,1922,1922.0,2022
DE0 17 ror,ror,27.0,DE0 17,1924,1924.0,2024
DE0 120 ror,ror,10.0,DE0 120,1982,1982.0,2082
DE0 103 ror,ror,14.8,DE0 103,1957,1957.0,2057
