,carrier,p_nom,bus
DE0 0 CCGT,CCGT,444.50209369,DE0 0
DE0 100 CCGT,CCGT,98.21859294,DE0 100
DE0 101 CCGT,CCGT,327.3953098,DE0 101
DE0 102 CCGT,CCGT,47.220477375,DE0 102
DE0 108 CCGT,CCGT,131.08404519299998,DE0 108
DE0 109 CCGT,CCGT,103.25544386,DE0 109
DE0 113 CCGT,CCGT,559.09045212,DE0 113
DE0 114 CCGT,CCGT,1614.184798587,DE0 114
DE0 115 CCGT,CCGT,94.44095475,DE0 115
DE0 118 CCGT,CCGT,59.18299831,DE0 118
DE0 12 CCGT,CCGT,125.921273,DE0 12
DE0 126 CCGT,CCGT,737.89865978,DE0 126
DE0 13 CCGT,CCGT,188.8819095,DE0 13
DE0 16 CCGT,CCGT,159.92001671,DE0 16
DE0 17 CCGT,CCGT,820.880778687,DE0 17
DE0 18 CCGT,CCGT,1109.7441789490001,DE0 18
DE0 19 CCGT,CCGT,305.98869339000004,DE0 19
DE0 30 CCGT,CCGT,363.282872605,DE0 30
DE0 31 CCGT,CCGT,1217.029103545,DE0 31
DE0 35 CCGT,CCGT,2313.17378501,DE0 35
DE0 37 CCGT,CCGT,153.62395306,DE0 37
DE0 38 CCGT,CCGT,86.88567837,DE0 38
DE0 39 CCGT,CCGT,813.1995810340001,DE0 39
DE0 41 CCGT,CCGT,184.474664945,DE0 41
DE0 43 CCGT,CCGT,125.921273,DE0 43
DE0 44 CCGT,CCGT,98.21859294,DE0 44
DE0 45 CCGT,CCGT,153.62395306,DE0 45
DE0 47 CCGT,CCGT,210.28852591,DE0 47
DE0 52 CCGT,CCGT,48.857453924,DE0 52
DE0 60 CCGT,CCGT,29.339656609,DE0 60
DE0 61 CCGT,CCGT,201.4740368,DE0 61
DE0 63 CCGT,CCGT,50.3685092,DE0 63
DE0 65 CCGT,CCGT,2937.995141636,DE0 65
DE0 66 CCGT,CCGT,118.36599662,DE0 66
DE0 68 CCGT,CCGT,135.99497484,DE0 68
DE0 69 CCGT,CCGT,12.340284754,DE0 69
DE0 70 CCGT,CCGT,1771.71231111,DE0 70
DE0 74 CCGT,CCGT,1274.575125306,DE0 74
DE0 77 CCGT,CCGT,176.919388565,DE0 77
DE0 78 CCGT,CCGT,366.55682570299996,DE0 78
DE0 79 CCGT,CCGT,94.44095475,DE0 79
DE0 8 CCGT,CCGT,16.508278890299998,DE0 8
DE0 80 CCGT,CCGT,578.356406889,DE0 80
DE0 85 CCGT,CCGT,35.635720259,DE0 85
DE0 9 CCGT,CCGT,525.09170841,DE0 9
DE0 92 CCGT,CCGT,197.69639861,DE0 92
DE0 99 CCGT,CCGT,510.107076923,DE0 99
DE0 0 OCGT,OCGT,132.21733665,DE0 0
DE0 100 OCGT,OCGT,62.9606365,DE0 100
DE0 101 OCGT,OCGT,84.115410364,DE0 101
DE0 102 OCGT,OCGT,12.843969845999998,DE0 102
DE0 103 OCGT,OCGT,20.14740368,DE0 103
DE0 109 OCGT,OCGT,26.065703511,DE0 109
DE0 111 OCGT,OCGT,23.799120597,DE0 111
DE0 113 OCGT,OCGT,721.906658109,DE0 113
DE0 114 OCGT,OCGT,19.014112223,DE0 114
DE0 116 OCGT,OCGT,44.576130641999995,DE0 116
DE0 117 OCGT,OCGT,16.999371855,DE0 117
