,bus,carrier,p_nom,year_removed
DE0 0 solar,DE0 0,solar,20.976937,2044
DE0 1 solar,DE0 1,solar,11.816775,2044
DE0 10 onwind,DE0 10,onwind,8.4,2044
DE0 10 solar,DE0 10,solar,28.871276,2044
DE0 100 onwind,DE0 100,onwind,12.45,2044
DE0 100 solar,DE0 100,solar,35.196327,2044
DE0 101 solar,DE0 101,solar,27.803912,2044
DE0 102 onwind,DE0 102,onwind,8.3,2044
DE0 102 solar,DE0 102,solar,31.385709,2044
DE0 103 solar,DE0 103,solar,62.596759,2044
DE0 104 solar,DE0 104,solar,20.117629,2044
DE0 105 onwind,DE0 105,onwind,32.1,2044
DE0 105 solar,DE0 105,solar,12.281976,2044
DE0 106 solar,DE0 106,solar,7.128405,2044
DE0 107 onwind,DE0 107,onwind,22.2,2044
DE0 107 solar,DE0 107,solar,8.15409,2044
DE0 108 onwind,DE0 108,onwind,56.900000000000006,2044
DE0 108 solar,DE0 108,solar,46.526428,2044
DE0 109 solar,DE0 109,solar,12.666627,2044
DE0 11 solar,DE0 11,solar,17.660541,2044
DE0 110 onwind,DE0 110,onwind,22.75,2044
DE0 110 solar,DE0 110,solar,18.930493,2044
DE0 111 onwind,DE0 111,onwind,3.6,2044
DE0 111 solar,DE0 111,solar,41.865493,2044
DE0 112 onwind,DE0 112,onwind,23.4,2044
DE0 112 solar,DE0 112,solar,30.329315,2044
DE0 113 solar,DE0 113,solar,8.786326,2044
DE0 114 solar,DE0 114,solar,6.62909,2044
DE0 116 onwind,DE0 116,onwind,11.7,2044
DE0 116 solar,DE0 116,solar,55.719228,2044
DE0 117 onwind,DE0 117,onwind,6.9,2044
DE0 117 solar,DE0 117,solar,22.175763,2044
DE0 118 solar,DE0 118,solar,21.82504,2044
DE0 119 onwind,DE0 119,onwind,6.65,2044
DE0 119 solar,DE0 119,solar,16.148458,2044
DE0 12 solar,DE0 12,solar,22.37004,2044
DE0 120 solar,DE0 120,solar,15.156861,2044
DE0 121 solar,DE0 121,solar,22.198695999999998,2044
DE0 122 onwind,DE0 122,onwind,4.0,2044
DE0 122 solar,DE0 122,solar,38.166415,2044
DE0 123 solar,DE0 123,solar,15.946511,2044
DE0 124 onwind,DE0 124,onwind,2.3,2044
DE0 124 solar,DE0 124,solar,16.373365,2044
DE0 125 solar,DE0 125,solar,12.366255,2044
DE0 126 solar,DE0 126,solar,9.042578,2044
DE0 127 onwind,DE0 127,onwind,10.350000000000001,2044
DE0 127 solar,DE0 127,solar,45.917410000000004,2044
DE0 13 solar,DE0 13,solar,14.27783,2044
DE0 14 onwind,DE0 14,onwind,7.051,2044
DE0 14 solar,DE0 14,solar,24.949691,2044
DE0 15 onwind,DE0 15,onwind,42.85,2044
DE0 15 solar,DE0 15,solar,43.560345,2044
DE0 16 solar,DE0 16,solar,13.724825000000001,2044
DE0 17 solar,DE0 17,solar,26.319407,2044
DE0 18 onwind,DE0 18,onwind,4.2,2044
DE0 18 solar,DE0 18,solar,14.414888,2044
DE0 19 onwind,DE0 19,onwind,23.7,2044
DE0 19 solar,DE0 19,solar,21.818689,2044
DE0 2 onwind,DE0 2,onwind,26.419999999999998,2044
DE0 2 solar,DE0 2,solar,18.756057000000002,2044
DE0 20 onwind,DE0 20,onwind,13.2,2044
DE0 20 solar,DE0 20,solar,22.238646,2044
DE0 21 solar,DE0 21,solar,11.866533,2044
DE0 22 solar,DE0 22,solar,51.785715,2044
DE0 23 onwind,DE0 23,onwind,0.0035,2044
DE0 23 solar,DE0 23,solar,23.837816,2044
DE0 24 solar,DE0 24,solar,32.94404,2044
DE0 25 solar,DE0 25,solar,26.659046,2044
DE0 26 solar,DE0 26,solar,23.79589,2044
DE0 27 solar,DE0 27,solar,17.789635,2044
DE0 28 onwind,DE0 28,onwind,4.5,2044
DE0 28 solar,DE0 28,solar,49.778402,2044
DE0 29 solar,DE0 29,solar,14.382748,2044
DE0 3 onwind,DE0 3,onwind,25.2,2044
DE0 3 solar,DE0 3,solar,4.02562,2044
DE0 30 onwind,DE0 30,onwind,0.0015,2044
DE0 30 solar,DE0 30,solar,76.666021,2044
DE0 31 onwind,DE0 31,onwind,4.6,2044
DE0 31 solar,DE0 31,solar,26.984235,2044
DE0 32 onwind,DE0 32,onwind,0.04,2044
DE0 32 solar,DE0 32,solar,16.331629,2044
DE0 33 onwind,DE0 33,onwind,9.25,2044
DE0 33 solar,DE0 33,solar,11.387942,2044
DE0 34 solar,DE0 34,solar,18.400805,2044
DE0 35 onwind,DE0 35,onwind,10.7,2044
DE0 35 solar,DE0 35,solar,52.107859,2044
DE0 36 onwind,DE0 36,onwind,4.7,2044
DE0 36 solar,DE0 36,solar,22.496132,2044
DE0 37 solar,DE0 37,solar,43.680792,2044
DE0 38 onwind,DE0 38,onwind,12.600000000000001,2044
DE0 38 solar,DE0 38,solar,41.961267,2044
DE0 39 onwind,DE0 39,onwind,3.45,2044
DE0 39 solar,DE0 39,solar,26.438142,2044
DE0 4 onwind,DE0 4,onwind,2.4,2044
DE0 4 solar,DE0 4,solar,19.17751,2044
DE0 40 solar,DE0 40,solar,15.64969,2044
DE0 41 solar,DE0 41,solar,16.51404,2044
DE0 42 offwind-ac,DE0 42,offwind-ac,95.53,2044
DE0 42 offwind-dc,DE0 42,offwind-dc,71.39,2044
DE0 42 onwind,DE0 42,onwind,22.400000000000002,2044
DE0 42 solar,DE0 42,solar,14.00073,2044
DE0 43 solar,DE0 43,solar,38.713742,2044
DE0 44 onwind,DE0 44,onwind,7.2515,2044
DE0 44 solar,DE0 44,solar,41.928724,2044
DE0 45 onwind,DE0 45,onwind,23.4,2044
DE0 45 solar,DE0 45,solar,34.357214,2044
DE0 46 solar,DE0 46,solar,12.916226,2044
DE0 47 solar,DE0 47,solar,25.522568,2044
DE0 48 solar,DE0 48,solar,21.034207,2044
DE0 49 solar,DE0 49,solar,20.545728999999998,2044
DE0 5 onwind,DE0 5,onwind,3.6,2044
DE0 5 solar,DE0 5,solar,36.989696,2044
DE0 50 solar,DE0 50,solar,14.583237,2044
DE0 51 onwind,DE0 51,onwind,21.61,2044
DE0 51 solar,DE0 51,solar,17.067361,2044
DE0 52 onwind,DE0 52,onwind,2.3,2044
DE0 52 solar,DE0 52,solar,19.726134,2044
DE0 53 solar,DE0 53,solar,48.856754,2044
DE0 54 solar,DE0 54,solar,16.771173,2044
DE0 55 solar,DE0 55,solar,20.228977,2044
DE0 56 onwind,DE0 56,onwind,44.65,2044
DE0 56 solar,DE0 56,solar,39.144201,2044
DE0 57 onwind,DE0 57,onwind,6.9,2044
DE0 57 solar,DE0 57,solar,25.758995,2044
DE0 58 onwind,DE0 58,onwind,40.77,2044
DE0 58 solar,DE0 58,solar,22.195816999999998,2044
DE0 6 solar,DE0 6,solar,26.391109,2044
DE0 60 solar,DE0 60,solar,48.972732,2044
DE0 61 solar,DE0 61,solar,12.6076,2044
DE0 62 onwind,DE0 62,onwind,14.4,2044
DE0 62 solar,DE0 62,solar,12.81913,2044
DE0 63 solar,DE0 63,solar,22.500235,2044
DE0 64 onwind,DE0 64,onwind,3.05,2044
DE0 64 solar,DE0 64,solar,18.760831,2044
DE0 65 solar,DE0 65,solar,29.060731,2044
DE0 66 onwind,DE0 66,onwind,6.4,2044
DE0 66 solar,DE0 66,solar,13.730129999999999,2044
