,carrier,p_nom,bus,year_removed
DE0 123 coal,coal,336.0,DE0 123,2067.0
DE0 123 coal,coal,433.0,DE0 123,2055.0
DE0 65 coal,coal,717.0,DE0 65,2031.0
DE0 97 coal,coal,89.0,DE0 97,2040.0
DE0 97 coal,coal,282.0,DE0 97,2037.0
DE0 97 coal,coal,282.0,DE0 97,2038.0
DE0 33 coal,coal,726.0,DE0 33,2033.0
DE0 66 coal,coal,43.3,DE0 66,2034.0
DE0 2 coal,coal,119.0,DE0 2,2039.0
DE0 2 coal,coal,303.0,DE0 2,2029.0
DE0 32 coal,coal,350.0,DE0 32,2039.0
DE0 64 coal,coal,370.0,DE0 64,2038.0
DE0 64 coal,coal,725.0,DE0 64,2063.0
DE0 37 coal,coal,17.4,DE0 37,2032.0
DE0 44 coal,coal,31.0,DE0 44,2042.0
DE0 44 coal,coal,33.0,DE0 44,2039.0
DE0 44 coal,coal,33.0,DE0 44,2035.0
DE0 46 coal,coal,61.5,DE0 46,2038.0
DE0 46 coal,coal,61.5,DE0 46,2039.0
DE0 64 coal,coal,70.0,DE0 64,2035.0
DE0 118 coal,coal,510.0,DE0 118,2042.0
DE0 16 coal,coal,194.0,DE0 16,2043.0
DE0 16 coal,coal,123.0,DE0 16,2032.0
DE0 16 coal,coal,137.0,DE0 16,2031.0
DE0 65 coal,coal,763.7,DE0 65,2064.0
DE0 19 coal,coal,136.0,DE0 19,2039.0
DE0 19 coal,coal,136.0,DE0 19,2039.0
DE0 71 coal,coal,125.0,DE0 71,2035.0
DE0 71 coal,coal,125.0,DE0 71,2036.0
DE0 71 coal,coal,778.0,DE0 71,2055.0
DE0 9 coal,coal,449.0,DE0 9,2059.0
DE0 19 coal,coal,690.0,DE0 19,2049.0
DE0 65 coal,coal,794.0,DE0 65,2055.0
DE0 46 coal,coal,66.0,DE0 46,2039.0
DE0 75 coal,coal,13.4,DE0 75,2046.0
DE0 0 coal,coal,517.0,DE0 0,2055.0
DE0 0 coal,coal,834.0,DE0 0,2064.0
DE0 39 coal,coal,110.0,DE0 39,2021.0
DE0 0 coal,coal,255.0,DE0 0,2055.0
DE0 0 coal,coal,425.0,DE0 0,2032.0
DE0 0 coal,coal,435.0,DE0 0,2043.0
DE0 0 coal,coal,843.0,DE0 0,2065.0
DE0 64 coal,coal,55.56,DE0 64,2021.0
DE0 64 coal,coal,68.4,DE0 64,2033.0
DE0 118 coal,coal,54.0,DE0 118,2040.0
DE0 2 coal,coal,875.0,DE0 2,2037.0
DE0 0 coal,coal,26.9,DE0 0,2040.0
DE0 79 coal,coal,655.6,DE0 79,2026.0
DE0 68 coal,coal,514.0,DE0 68,2044.0
DE0 79 coal,coal,50.0,DE0 79,2058.0
DE0 118 coal,coal,24.79,DE0 118,2020.0
DE0 29 coal,coal,45.0,DE0 29,2032.0
DE0 29 coal,coal,45.0,DE0 29,2034.0
DE0 17 coal,coal,332.7,DE0 17,2041.0
DE0 79 coal,coal,179.0,DE0 79,2032.0
DE0 79 coal,coal,211.0,DE0 79,2039.0
DE0 29 coal,coal,96.0,DE0 29,2034.0
DE0 29 coal,coal,148.0,DE0 29,2037.0
DE0 32 coal,coal,757.0,DE0 32,2026.0
DE0 65 coal,coal,61.5,DE0 65,2050.0
DE0 10 coal,coal,61.5,DE0 10,2050.0
DE0 65 coal,coal,138.5,DE0 65,2035.0
DE0 10 coal,coal,138.5,DE0 10,2035.0
DE0 17 coal,coal,472.0,DE0 17,2055.0
DE0 76 coal,coal,20.7,DE0 76,2042.0
DE0 9 coal,coal,735.0,DE0 9,2063.0
DE0 16 coal,coal,800.0,DE0 16,2065.0
DE0 16 coal,coal,800.0,DE0 16,2065.0
DE0 32 coal,coal,731.0,DE0 32,2065.0
