,p_nom,carrier,bus
DE0 25 offwind-ac,206.6,offwind-ac,DE0 25
DE0 42 offwind-ac,845.888,offwind-ac,DE0 42
DE0 44 offwind-ac,126.0,offwind-ac,DE0 44
DE0 68 offwind-ac,179.1,offwind-ac,DE0 68
DE0 73 offwind-ac,2176.898,offwind-ac,DE0 73
DE0 42 offwind-dc,1005.338,offwind-dc,DE0 42
DE0 73 offwind-dc,2166.534,offwind-dc,DE0 73
DE0 90 offwind-dc,364.25,offwind-dc,DE0 90
DE0 0 onwind,101.99215,onwind,DE0 0
DE0 1 onwind,41.2113,onwind,DE0 1
DE0 10 onwind,1036.8938,onwind,DE0 10
DE0 100 onwind,421.60825,onwind,DE0 100
DE0 101 onwind,123.8005,onwind,DE0 101
DE0 102 onwind,321.2546,onwind,DE0 102
DE0 103 onwind,11.2953,onwind,DE0 103
DE0 104 onwind,78.48179999999999,onwind,DE0 104
DE0 105 onwind,360.715,onwind,DE0 105
DE0 106 onwind,107.2576,onwind,DE0 106
DE0 107 onwind,600.095,onwind,DE0 107
DE0 108 onwind,725.7933,onwind,DE0 108
DE0 109 onwind,10.08184,onwind,DE0 109
DE0 11 onwind,69.8856,onwind,DE0 11
DE0 110 onwind,1046.2806,onwind,DE0 110
DE0 111 onwind,484.109843,onwind,DE0 111
DE0 112 onwind,958.2506,onwind,DE0 112
DE0 113 onwind,119.45,onwind,DE0 113
DE0 114 onwind,73.6404,onwind,DE0 114
DE0 116 onwind,571.4835,onwind,DE0 116
DE0 117 onwind,1280.7955,onwind,DE0 117
DE0 118 onwind,105.41,onwind,DE0 118
DE0 119 onwind,832.7711,onwind,DE0 119
DE0 12 onwind,306.534,onwind,DE0 12
DE0 120 onwind,48.64973,onwind,DE0 120
DE0 121 onwind,0.7625,onwind,DE0 121
DE0 122 onwind,282.9126,onwind,DE0 122
DE0 123 onwind,9.901499999999999,onwind,DE0 123
DE0 124 onwind,234.51125,onwind,DE0 124
DE0 125 onwind,30.405,onwind,DE0 125
DE0 126 onwind,92.03999999999999,onwind,DE0 126
DE0 127 onwind,23.35,onwind,DE0 127
DE0 13 onwind,202.627,onwind,DE0 13
DE0 14 onwind,51.0668,onwind,DE0 14
DE0 15 onwind,799.533,onwind,DE0 15
DE0 16 onwind,186.959,onwind,DE0 16
DE0 17 onwind,20.21818,onwind,DE0 17
DE0 18 onwind,154.95999999999998,onwind,DE0 18
DE0 19 onwind,605.172,onwind,DE0 19
DE0 2 onwind,843.9887,onwind,DE0 2
DE0 20 onwind,772.6228,onwind,DE0 20
DE0 21 onwind,141.1,onwind,DE0 21
DE0 22 onwind,551.66,onwind,DE0 22
DE0 23 onwind,217.7437,onwind,DE0 23
DE0 24 onwind,82.66127,onwind,DE0 24
DE0 25 onwind,326.238,onwind,DE0 25
DE0 26 onwind,105.7764,onwind,DE0 26
DE0 27 onwind,18.116,onwind,DE0 27
DE0 28 onwind,449.3925,onwind,DE0 28
DE0 29 onwind,3.5126,onwind,DE0 29
DE0 3 onwind,285.0335,onwind,DE0 3
DE0 30 onwind,10.27099,onwind,DE0 30
DE0 31 onwind,377.9468,onwind,DE0 31
DE0 32 onwind,1216.8977,onwind,DE0 32
DE0 33 onwind,395.6974,onwind,DE0 33
DE0 34 onwind,151.855,onwind,DE0 34
DE0 35 onwind,863.1389,onwind,DE0 35
DE0 36 onwind,10.6877,onwind,DE0 36
DE0 37 onwind,520.68813,onwind,DE0 37
DE0 38 onwind,569.4416,onwind,DE0 38
DE0 39 onwind,193.6927,onwind,DE0 39
DE0 4 onwind,63.883599999999994,onwind,DE0 4
DE0 40 onwind,22.101399999999998,onwind,DE0 40
DE0 41 onwind,445.621,onwind,DE0 41
DE0 42 onwind,2694.1979,onwind,DE0 42
DE0 43 onwind,1227.622,onwind,DE0 43
DE0 44 onwind,3944.36317,onwind,DE0 44
DE0 45 onwind,454.6876,onwind,DE0 45
DE0 46 onwind,69.5015,onwind,DE0 46
DE0 47 onwind,432.762,onwind,DE0 47
DE0 48 onwind,2.604,onwind,DE0 48
DE0 49 onwind,167.8795,onwind,DE0 49
DE0 5 onwind,723.030615,onwind,DE0 5
DE0 50 onwind,61.0125,onwind,DE0 50
DE0 51 onwind,771.8551,onwind,DE0 51
DE0 52 onwind,394.206,onwind,DE0 52
DE0 53 onwind,270.411425,onwind,DE0 53
DE0 54 onwind,369.926,onwind,DE0 54
DE0 55 onwind,232.564,onwind,DE0 55
DE0 56 onwind,2096.93,onwind,DE0 56
DE0 57 onwind,674.9467999999999,onwind,DE0 57
DE0 58 onwind,1545.3794,onwind,DE0 58
DE0 6 onwind,243.71519999999998,onwind,DE0 6
DE0 60 onwind,10.83418,onwind,DE0 60
DE0 61 onwind,460.93,onwind,DE0 61
DE0 62 onwind,518.8595,onwind,DE0 62
DE0 63 onwind,108.4803,onwind,DE0 63
DE0 64 onwind,115.22399999999999,onwind,DE0 64
DE0 65 onwind,345.95194,onwind,DE0 65
DE0 66 onwind,338.0815,onwind,DE0 66
DE0 68 onwind,844.1786,onwind,DE0 68
DE0 69 onwind,1.80132,onwind,DE0 69
DE0 7 onwind,29.82805,onwind,DE0 7
DE0 70 onwind,236.61696999999998,onwind,DE0 70
DE0 72 onwind,1379.2565,onwind,DE0 72
DE0 73 onwind,1712.2434,onwind,DE0 73
DE0 74 onwind,2.6029,onwind,DE0 74
DE0 75 onwind,300.986,onwind,DE0 75
DE0 76 onwind,1.58151,onwind,DE0 76
DE0 77 onwind,1121.3246,onwind,DE0 77
DE0 78 onwind,449.01,onwind,DE0 78
DE0 79 onwind,225.4735,onwind,DE0 79
DE0 8 onwind,405.7099,onwind,DE0 8
DE0 80 onwind,886.56,onwind,DE0 80
DE0 81 onwind,387.52266,onwind,DE0 81
DE0 82 onwind,24.2484,onwind,DE0 82
DE0 83 onwind,281.092,onwind,DE0 83
DE0 84 onwind,232.138,onwind,DE0 84
DE0 85 onwind,46.0546,onwind,DE0 85
DE0 86 onwind,67.26365,onwind,DE0 86
DE0 87 onwind,299.00325,onwind,DE0 87
DE0 88 onwind,718.6,onwind,DE0 88
DE0 89 onwind,33.547979999999995,onwind,DE0 89
DE0 9 onwind,77.389,onwind,DE0 9
DE0 90 onwind,1019.1327,onwind,DE0 90
DE0 91 onwind,361.002,onwind,DE0 91
DE0 92 onwind,491.1506,onwind,DE0 92
DE0 93 onwind,727.5293,onwind,DE0 93
DE0 94 onwind,75.7697,onwind,DE0 94
DE0 95 onwind,38.85,onwind,DE0 95
DE0 96 onwind,49.5117,onwind,DE0 96
DE0 97 onwind,17.6619,onwind,DE0 97
DE0 98 onwind,493.31149999999997,onwind,DE0 98
DE0 99 onwind,521.06616,onwind,DE0 99
DE0 0 solar,337.790827,solar,DE0 0
DE0 1 solar,106.370357,solar,DE0 1
DE0 10 solar,341.299352,solar,DE0 10
DE0 100 solar,484.972954,solar,DE0 100
DE0 101 solar,166.415213,solar,DE0 101
DE0 102 solar,418.8044,solar,DE0 102
DE0 103 solar,957.051907,solar,DE0 103
DE0 104 solar,386.750227,solar,DE0 104
