,bus,carrier,p_nom,year_removed
DE0 2 onwind,DE0 2,onwind,41.7533,2044
DE0 2 solar,DE0 2,solar,1118.301053,2044
DE0 9 offwind-ac,DE0 9,offwind-ac,348.91,2044
DE0 9 offwind-dc,DE0 9,offwind-dc,341.97,2044
DE0 9 onwind,DE0 9,onwind,261.5215,2044
DE0 9 solar,DE0 9,solar,508.549904,2044
DE0 A onwind,DE0 A,onwind,257.1,2044
DE0 A solar,DE0 A,solar,676.0985295,2044
DE0 E onwind,DE0 E,onwind,226.2168,2044
DE0 E solar,DE0 E,solar,739.640377,2044
DE0 2 onwind,DE0 2,onwind,181.89588,2043
DE0 2 solar,DE0 2,solar,974.859761,2043
DE0 9 offwind-ac,DE0 9,offwind-ac,493.40000000000003,2043
DE0 9 offwind-dc,DE0 9,offwind-dc,481.40000000000003,2043
DE0 9 onwind,DE0 9,onwind,938.788,2043
DE0 9 solar,DE0 9,solar,443.681452,2043
DE0 A onwind,DE0 A,onwind,767.921,2043
DE0 A solar,DE0 A,solar,489.858339,2043
DE0 E onwind,DE0 E,onwind,438.29,2043
DE0 E solar,DE0 E,solar,938.687607,2043
DE0 2 onwind,DE0 2,onwind,703.7388,2042
DE0 2 solar,DE0 2,solar,557.121988,2042
DE0 9 offwind-ac,DE0 9,offwind-ac,624.85,2042
DE0 9 offwind-dc,DE0 9,offwind-dc,628.05,2042
DE0 9 onwind,DE0 9,onwind,2130.1506,2042
DE0 9 solar,DE0 9,solar,184.793081,2042
DE0 A onwind,DE0 A,onwind,1424.0312999999999,2042
DE0 A solar,DE0 A,solar,290.609542,2042
DE0 E onwind,DE0 E,onwind,1067.1025,2042
DE0 E solar,DE0 E,solar,382.568316,2042
DE0 2 onwind,DE0 2,onwind,686.03778,2041
DE0 2 solar,DE0 2,solar,403.197952,2041
DE0 9 offwind-ac,DE0 9,offwind-ac,428.736,2041
DE0 9 offwind-dc,DE0 9,offwind-dc,426.672,2041
DE0 9 onwind,DE0 9,onwind,1745.4799,2041
DE0 9 solar,DE0 9,solar,227.834837,2041
DE0 A onwind,DE0 A,onwind,1107.6589,2041
DE0 A solar,DE0 A,solar,274.271414,2041
DE0 E onwind,DE0 E,onwind,963.63846,2041
DE0 E solar,DE0 E,solar,567.553174,2041
DE0 2 onwind,DE0 2,onwind,499.41697,2040
DE0 2 solar,DE0 2,solar,466.05107,2040
DE0 9 offwind-ac,DE0 9,offwind-ac,1144.01,2040
DE0 9 offwind-dc,DE0 9,offwind-dc,1151.45,2040
DE0 9 onwind,DE0 9,onwind,1497.8553,2040
DE0 9 solar,DE0 9,solar,177.333171,2040
DE0 A onwind,DE0 A,onwind,881.8973,2040
DE0 A solar,DE0 A,solar,278.526452,2040
DE0 E onwind,DE0 E,onwind,904.8756149999999,2040
DE0 E solar,DE0 E,solar,476.895469,2040
DE0 2 onwind,DE0 2,onwind,417.153043,2039
DE0 2 solar,DE0 2,solar,675.036102,2039
DE0 9 offwind-ac,DE0 9,offwind-ac,244.28,2039
DE0 9 offwind-dc,DE0 9,offwind-dc,248.57999999999998,2039
DE0 9 onwind,DE0 9,onwind,2193.8292,2039
DE0 9 solar,DE0 9,solar,256.363311,2039
DE0 A onwind,DE0 A,onwind,976.5443,2039
DE0 A solar,DE0 A,solar,369.126293,2039
DE0 E onwind,DE0 E,onwind,1066.003,2039
DE0 E solar,DE0 E,solar,445.26185,2039
DE0 2 onwind,DE0 2,onwind,260.14041,2038
DE0 2 solar,DE0 2,solar,1228.707479,2038
DE0 9 offwind-ac,DE0 9,offwind-ac,120.0,2038
DE0 9 offwind-dc,DE0 9,offwind-dc,120.0,2038
DE0 9 onwind,DE0 9,onwind,1019.92617,2038
DE0 9 solar,DE0 9,solar,505.859815,2038
DE0 A onwind,DE0 A,onwind,887.4302799999999,2038
DE0 A solar,DE0 A,solar,674.657359,2038
DE0 E onwind,DE0 E,onwind,811.34743,2038
DE0 E solar,DE0 E,solar,713.544007,2038
DE0 2 onwind,DE0 2,onwind,204.30668500000002,2037
DE0 2 solar,DE0 2,solar,2040.027646,2037
DE0 9 offwind-ac,DE0 9,offwind-ac,40.0,2037
DE0 9 offwind-dc,DE0 9,offwind-dc,40.0,2037
DE0 9 onwind,DE0 9,onwind,775.0821,2037
DE0 9 solar,DE0 9,solar,1273.500847,2037
DE0 A onwind,DE0 A,onwind,578.95855,2037
DE0 A solar,DE0 A,solar,1293.244192,2037
DE0 E onwind,DE0 E,onwind,848.3049,2037
DE0 E solar,DE0 E,solar,2224.495276,2037
DE0 2 onwind,DE0 2,onwind,168.80104,2036
DE0 2 solar,DE0 2,solar,2812.567263,2036
DE0 9 offwind-ac,DE0 9,offwind-ac,50.3,2036
DE0 9 offwind-dc,DE0 9,offwind-dc,58.0,2036
DE0 9 onwind,DE0 9,onwind,748.5182,2036
DE0 9 solar,DE0 9,solar,1370.433422,2036
DE0 A onwind,DE0 A,onwind,504.78582,2036
DE0 A solar,DE0 A,solar,1611.355913,2036
DE0 E onwind,DE0 E,onwind,448.894,2036
DE0 E solar,DE0 E,solar,2168.349765,2036
DE0 2 onwind,DE0 2,onwind,58.57745,2035
DE0 2 solar,DE0 2,solar,3502.997967,2035
DE0 9 offwind-ac,DE0 9,offwind-ac,25.0,2035
DE0 9 offwind-dc,DE0 9,offwind-dc,20.0,2035
DE0 9 onwind,DE0 9,onwind,603.1472,2035
DE0 9 solar,DE0 9,solar,1354.930454,2035
DE0 A onwind,DE0 A,onwind,264.85125,2035
DE0 A solar,DE0 A,solar,1584.087808,2035
DE0 E onwind,DE0 E,onwind,487.1855,2035
DE0 E solar,DE0 E,solar,1131.543532,2035
DE0 2 onwind,DE0 2,onwind,121.2283,2034
DE0 2 solar,DE0 2,solar,2377.525044,2034
DE0 9 offwind-ac,DE0 9,offwind-ac,15.0,2034
DE0 9 offwind-dc,DE0 9,offwind-dc,20.0,2034
DE0 9 onwind,DE0 9,onwind,946.0104,2034
DE0 9 solar,DE0 9,solar,640.113745,2034
DE0 A onwind,DE0 A,onwind,411.658,2034
DE0 A solar,DE0 A,solar,874.079503,2034
DE0 E onwind,DE0 E,onwind,1191.847,2034
DE0 E solar,DE0 E,solar,532.495815,2034
DE0 2 onwind,DE0 2,onwind,24.892,2033
DE0 2 solar,DE0 2,solar,1119.172822,2033
DE0 9 onwind,DE0 9,onwind,328.92,2033
DE0 9 solar,DE0 9,solar,204.116877,2033
DE0 A onwind,DE0 A,onwind,72.4,2033
DE0 A solar,DE0 A,solar,437.491488,2033
DE0 E onwind,DE0 E,onwind,338.45,2033
DE0 E solar,DE0 E,solar,212.600608,2033
DE0 2 onwind,DE0 2,onwind,128.1515,2032
DE0 2 solar,DE0 2,solar,742.584537,2032
DE0 9 onwind,DE0 9,onwind,641.2845,2032
DE0 9 solar,DE0 9,solar,127.430808,2032
DE0 A onwind,DE0 A,onwind,340.775,2032
DE0 A solar,DE0 A,solar,274.43497,2032
DE0 E onwind,DE0 E,onwind,570.0032,2032
DE0 E solar,DE0 E,solar,106.651672,2032
DE0 2 onwind,DE0 2,onwind,153.55,2031
DE0 2 solar,DE0 2,solar,505.117717,2031
DE0 9 onwind,DE0 9,onwind,717.955,2031
DE0 9 solar,DE0 9,solar,100.958144,2031
DE0 A onwind,DE0 A,onwind,367.7,2031
DE0 A solar,DE0 A,solar,186.939195,2031
DE0 E onwind,DE0 E,onwind,963.31,2031
DE0 E solar,DE0 E,solar,48.372578,2031
DE0 2 onwind,DE0 2,onwind,64.8926,2030
DE0 2 solar,DE0 2,solar,606.549929,2030
DE0 9 onwind,DE0 9,onwind,568.58,2030
DE0 9 solar,DE0 9,solar,95.729014,2030
DE0 A onwind,DE0 A,onwind,296.441,2030
DE0 A solar,DE0 A,solar,172.429607,2030
DE0 E onwind,DE0 E,onwind,831.51,2030
DE0 E solar,DE0 E,solar,46.838061,2030
DE0 2 onwind,DE0 2,onwind,72.2,2029
DE0 2 solar,DE0 2,solar,450.528432,2029
DE0 9 onwind,DE0 9,onwind,795.867,2029
DE0 9 solar,DE0 9,solar,56.538405,2029
DE0 A onwind,DE0 A,onwind,397.7,2029
DE0 A solar,DE0 A,solar,113.83211,2029
DE0 E onwind,DE0 E,onwind,732.904,2029
DE0 E solar,DE0 E,solar,33.491252,2029
DE0 2 onwind,DE0 2,onwind,75.928,2028
DE0 2 solar,DE0 2,solar,114.175055,2028
DE0 9 onwind,DE0 9,onwind,920.61,2028
DE0 9 solar,DE0 9,solar,7.197715,2028
DE0 A onwind,DE0 A,onwind,493.7,2028
DE0 A solar,DE0 A,solar,17.943485,2028
DE0 E onwind,DE0 E,onwind,1177.79,2028
DE0 E solar,DE0 E,solar,2.81146,2028
DE0 2 onwind,DE0 2,onwind,125.44025,2027
DE0 2 solar,DE0 2,solar,80.8161,2027
DE0 9 onwind,DE0 9,onwind,1139.33,2027
DE0 9 solar,DE0 9,solar,7.49669,2027
DE0 A onwind,DE0 A,onwind,647.84084,2027
DE0 A solar,DE0 A,solar,17.155456,2027
DE0 E onwind,DE0 E,onwind,1065.395,2027
DE0 E solar,DE0 E,solar,4.145109,2027
DE0 2 onwind,DE0 2,onwind,91.569,2026
DE0 2 solar,DE0 2,solar,68.467502,2026
DE0 9 onwind,DE0 9,onwind,1188.25,2026
DE0 9 solar,DE0 9,solar,11.760783,2026
DE0 A onwind,DE0 A,onwind,451.3498,2026
DE0 A solar,DE0 A,solar,20.679921,2026
DE0 E onwind,DE0 E,onwind,793.33,2026
DE0 E solar,DE0 E,solar,6.898813,2026
DE0 2 onwind,DE0 2,onwind,78.37,2025
DE0 2 solar,DE0 2,solar,23.348518,2025
DE0 9 onwind,DE0 9,onwind,731.7955,2025
DE0 9 solar,DE0 9,solar,4.542199,2025
DE0 A onwind,DE0 A,onwind,296.9035,2025
DE0 A solar,DE0 A,solar,9.474672,2025
DE0 E onwind,DE0 E,onwind,351.23,2025
DE0 E solar,DE0 E,solar,1.810602,2025
DE0 2 onwind,DE0 2,onwind,6.01375,2024
DE0 2 solar,DE0 2,solar,3.199886,2024
DE0 9 onwind,DE0 9,onwind,459.6,2024
DE0 9 solar,DE0 9,solar,1.423031,2024
DE0 A onwind,DE0 A,onwind,100.485,2024
DE0 A solar,DE0 A,solar,3.849684,2024
DE0 E onwind,DE0 E,onwind,476.14,2024
DE0 E solar,DE0 E,solar,0.81537,2024
DE0 2 onwind,DE0 2,onwind,7.6450000000000005,2023
DE0 2 solar,DE0 2,solar,1.937439,2023
DE0 9 onwind,DE0 9,onwind,186.85,2023
DE0 9 solar,DE0 9,solar,1.112494,2023
DE0 A onwind,DE0 A,onwind,104.2504,2023
DE0 A solar,DE0 A,solar,2.514715,2023
DE0 E onwind,DE0 E,onwind,133.43,2023
DE0 E solar,DE0 E,solar,0.357749,2023
DE0 2 onwind,DE0 2,onwind,4.07,2022
DE0 2 solar,DE0 2,solar,2.516563,2022
DE0 9 onwind,DE0 9,onwind,87.81,2022
DE0 9 solar,DE0 9,solar,1.127459,2022
DE0 A onwind,DE0 A,onwind,77.21,2022
DE0 A solar,DE0 A,solar,2.9542,2022
DE0 E onwind,DE0 E,onwind,98.55,2022
DE0 E solar,DE0 E,solar,0.31813600000000003,2022
DE0 2 onwind,DE0 2,onwind,1.317,2021
DE0 2 solar,DE0 2,solar,1.332941,2021
DE0 9 onwind,DE0 9,onwind,83.373,2021
DE0 9 solar,DE0 9,solar,0.591503,2021
DE0 A onwind,DE0 A,onwind,66.54804,2021
DE0 A solar,DE0 A,solar,2.1579,2021
DE0 E onwind,DE0 E,onwind,81.687,2021
DE0 E solar,DE0 E,solar,0.190165,2021
DE0 2 onwind,DE0 2,onwind,1.76,2020
DE0 2 solar,DE0 2,solar,0.22739,2020
DE0 9 onwind,DE0 9,onwind,177.611,2020
DE0 9 solar,DE0 9,solar,0.255613,2020
DE0 A onwind,DE0 A,onwind,50.255,2020
DE0 A solar,DE0 A,solar,0.632165,2020
DE0 E onwind,DE0 E,onwind,46.08,2020
DE0 E solar,DE0 E,solar,0.255812,2020
