,bus,carrier,p_nom,year_removed
DE0 0 biomass,DE0 0,biomass,3.0325,2049
DE0 1 biomass,DE0 1,biomass,4.013,2049
DE0 2 biomass,DE0 2,biomass,4.028,2049
DE0 3 biomass,DE0 3,biomass,4.908,2049
DE0 4 biomass,DE0 4,biomass,1.738,2049
DE0 5 biomass,DE0 5,biomass,1.749,2049
DE0 0 biomass,DE0 0,biomass,8.587,2048
DE0 1 biomass,DE0 1,biomass,15.262,2048
DE0 2 biomass,DE0 2,biomass,4.812,2048
DE0 3 biomass,DE0 3,biomass,15.4335,2048
DE0 4 biomass,DE0 4,biomass,5.8672,2048
DE0 5 biomass,DE0 5,biomass,0.96,2048
DE0 0 biomass,DE0 0,biomass,3.5863,2047
DE0 1 biomass,DE0 1,biomass,2.1193,2047
DE0 2 biomass,DE0 2,biomass,2.387,2047
DE0 3 biomass,DE0 3,biomass,5.0985,2047
DE0 4 biomass,DE0 4,biomass,2.332,2047
DE0 5 biomass,DE0 5,biomass,1.06,2047
DE0 0 biomass,DE0 0,biomass,4.4674,2046
DE0 1 biomass,DE0 1,biomass,2.315,2046
DE0 2 biomass,DE0 2,biomass,1.923,2046
DE0 3 biomass,DE0 3,biomass,9.579,2046
DE0 4 biomass,DE0 4,biomass,5.518,2046
DE0 5 biomass,DE0 5,biomass,2.975,2046
DE0 0 biomass,DE0 0,biomass,2.5237,2045
DE0 1 biomass,DE0 1,biomass,3.417,2045
DE0 2 biomass,DE0 2,biomass,1.588,2045
DE0 3 biomass,DE0 3,biomass,2.4847,2045
DE0 4 biomass,DE0 4,biomass,2.78246,2045
DE0 5 biomass,DE0 5,biomass,2.2870000000000004,2045
DE0 0 biomass,DE0 0,biomass,36.7609,2044
DE0 1 biomass,DE0 1,biomass,16.438,2044
DE0 2 biomass,DE0 2,biomass,22.34152,2044
DE0 3 biomass,DE0 3,biomass,55.04744,2044
DE0 4 biomass,DE0 4,biomass,66.6938,2044
DE0 5 biomass,DE0 5,biomass,25.1945,2044
DE0 0 biomass,DE0 0,biomass,27.6808,2043
DE0 1 biomass,DE0 1,biomass,38.1415,2043
DE0 2 biomass,DE0 2,biomass,23.2067,2043
DE0 3 biomass,DE0 3,biomass,75.1287,2043
DE0 4 biomass,DE0 4,biomass,77.1887,2043
DE0 5 biomass,DE0 5,biomass,25.805,2043
DE0 0 biomass,DE0 0,biomass,61.495960000000004,2042
DE0 1 biomass,DE0 1,biomass,39.1404,2042
DE0 2 biomass,DE0 2,biomass,33.1295,2042
DE0 3 biomass,DE0 3,biomass,67.802,2042
DE0 4 biomass,DE0 4,biomass,60.4472,2042
DE0 5 biomass,DE0 5,biomass,36.5352,2042
DE0 0 biomass,DE0 0,biomass,208.973,2041
DE0 1 biomass,DE0 1,biomass,104.4427,2041
DE0 2 biomass,DE0 2,biomass,107.7961,2041
DE0 3 biomass,DE0 3,biomass,534.0271,2041
DE0 4 biomass,DE0 4,biomass,201.2259,2041
DE0 5 biomass,DE0 5,biomass,76.7166,2041
DE0 0 biomass,DE0 0,biomass,191.7515,2040
DE0 1 biomass,DE0 1,biomass,78.13445,2040
DE0 2 biomass,DE0 2,biomass,53.99836,2040
DE0 3 biomass,DE0 3,biomass,306.8119,2040
DE0 4 biomass,DE0 4,biomass,96.255,2040
DE0 5 biomass,DE0 5,biomass,33.778,2040
DE0 0 biomass,DE0 0,biomass,112.6522,2039
DE0 1 biomass,DE0 1,biomass,59.83805,2039
DE0 2 biomass,DE0 2,biomass,40.0184,2039
DE0 3 biomass,DE0 3,biomass,184.562975,2039
DE0 4 biomass,DE0 4,biomass,91.3462,2039
DE0 5 biomass,DE0 5,biomass,47.84007,2039
DE0 0 biomass,DE0 0,biomass,88.3005,2038
DE0 1 biomass,DE0 1,biomass,47.243,2038
DE0 2 biomass,DE0 2,biomass,20.598,2038
DE0 3 biomass,DE0 3,biomass,143.05749,2038
DE0 4 biomass,DE0 4,biomass,87.232,2038
DE0 5 biomass,DE0 5,biomass,26.004,2038
DE0 0 biomass,DE0 0,biomass,153.0402,2037
DE0 1 biomass,DE0 1,biomass,75.3424,2037
DE0 2 biomass,DE0 2,biomass,50.248611000000004,2037
DE0 3 biomass,DE0 3,biomass,227.8375,2037
DE0 4 biomass,DE0 4,biomass,156.91245,2037
DE0 5 biomass,DE0 5,biomass,47.09847,2037
DE0 0 biomass,DE0 0,biomass,255.1467,2036
DE0 1 biomass,DE0 1,biomass,101.12276,2036
DE0 2 biomass,DE0 2,biomass,99.5614,2036
DE0 3 biomass,DE0 3,biomass,304.5511,2036
DE0 4 biomass,DE0 4,biomass,140.637,2036
DE0 5 biomass,DE0 5,biomass,69.6161,2036
DE0 0 biomass,DE0 0,biomass,240.51455,2035
DE0 1 biomass,DE0 1,biomass,128.33025,2035
DE0 2 biomass,DE0 2,biomass,78.4563,2035
DE0 3 biomass,DE0 3,biomass,237.293,2035
DE0 4 biomass,DE0 4,biomass,79.254,2035
DE0 5 biomass,DE0 5,biomass,29.3208,2035
DE0 0 biomass,DE0 0,biomass,107.6076,2034
DE0 1 biomass,DE0 1,biomass,99.2302,2034
DE0 2 biomass,DE0 2,biomass,72.3235,2034
DE0 3 biomass,DE0 3,biomass,89.295,2034
DE0 4 biomass,DE0 4,biomass,228.5923,2034
DE0 5 biomass,DE0 5,biomass,24.7748,2034
DE0 0 biomass,DE0 0,biomass,35.770500000000006,2033
DE0 1 biomass,DE0 1,biomass,14.91,2033
DE0 2 biomass,DE0 2,biomass,9.7367,2033
DE0 3 biomass,DE0 3,biomass,49.19,2033
DE0 4 biomass,DE0 4,biomass,53.961999999999996,2033
DE0 5 biomass,DE0 5,biomass,52.528999999999996,2033
DE0 0 biomass,DE0 0,biomass,18.79236,2032
DE0 1 biomass,DE0 1,biomass,22.0373,2032
DE0 2 biomass,DE0 2,biomass,7.686,2032
DE0 3 biomass,DE0 3,biomass,34.092999999999996,2032
DE0 4 biomass,DE0 4,biomass,66.285,2032
DE0 5 biomass,DE0 5,biomass,11.342,2032
DE0 0 biomass,DE0 0,biomass,70.4325,2031
DE0 1 biomass,DE0 1,biomass,24.5065,2031
DE0 2 biomass,DE0 2,biomass,17.086299999999998,2031
DE0 3 biomass,DE0 3,biomass,25.868000000000002,2031
DE0 4 biomass,DE0 4,biomass,33.964000000000006,2031
DE0 5 biomass,DE0 5,biomass,17.2505,2031
DE0 0 biomass,DE0 0,biomass,27.35,2030
DE0 1 biomass,DE0 1,biomass,48.493,2030
DE0 2 biomass,DE0 2,biomass,13.5093,2030
DE0 3 biomass,DE0 3,biomass,66.22749999999999,2030
DE0 4 biomass,DE0 4,biomass,20.356,2030
DE0 5 biomass,DE0 5,biomass,21.5605,2030
DE0 0 biomass,DE0 0,biomass,6.9408,2029
DE0 1 biomass,DE0 1,biomass,4.05,2029
DE0 2 biomass,DE0 2,biomass,7.954000000000001,2029
DE0 3 biomass,DE0 3,biomass,2.553,2029
DE0 4 biomass,DE0 4,biomass,7.748,2029
DE0 5 biomass,DE0 5,biomass,9.187999999999999,2029
DE0 0 biomass,DE0 0,biomass,3.475,2028
DE0 1 biomass,DE0 1,biomass,6.0985,2028
DE0 2 biomass,DE0 2,biomass,1.445,2028
DE0 3 biomass,DE0 3,biomass,8.539,2028
DE0 4 biomass,DE0 4,biomass,3.3369999999999997,2028
DE0 5 biomass,DE0 5,biomass,14.481,2028
DE0 0 biomass,DE0 0,biomass,9.032,2027
DE0 1 biomass,DE0 1,biomass,4.117,2027
DE0 2 biomass,DE0 2,biomass,6.387,2027
DE0 3 biomass,DE0 3,biomass,10.553,2027
DE0 4 biomass,DE0 4,biomass,10.696,2027
DE0 5 biomass,DE0 5,biomass,2.237,2027
DE0 0 biomass,DE0 0,biomass,1.972,2026
DE0 1 biomass,DE0 1,biomass,1.7710000000000001,2026
DE0 2 biomass,DE0 2,biomass,5.05,2026
DE0 3 biomass,DE0 3,biomass,4.359,2026
DE0 4 biomass,DE0 4,biomass,0.585,2026
DE0 0 biomass,DE0 0,biomass,0.441,2025
DE0 1 biomass,DE0 1,biomass,4.514,2025
DE0 2 biomass,DE0 2,biomass,1.05,2025
DE0 3 biomass,DE0 3,biomass,5.034,2025
DE0 4 biomass,DE0 4,biomass,0.8,2025
DE0 5 biomass,DE0 5,biomass,5.383,2025
DE0 0 biomass,DE0 0,biomass,3.2279999999999998,2024
DE0 1 biomass,DE0 1,biomass,16.444,2024
DE0 2 biomass,DE0 2,biomass,0.508,2024
DE0 3 biomass,DE0 3,biomass,3.78,2024
DE0 4 biomass,DE0 4,biomass,5.26,2024
DE0 5 biomass,DE0 5,biomass,0.956,2024
DE0 0 biomass,DE0 0,biomass,28.4692,2023
DE0 1 biomass,DE0 1,biomass,0.265,2023
DE0 2 biomass,DE0 2,biomass,3.972,2023
DE0 3 biomass,DE0 3,biomass,1.5,2023
DE0 4 biomass,DE0 4,biomass,0.53,2023
DE0 5 biomass,DE0 5,biomass,0.362,2023
DE0 0 biomass,DE0 0,biomass,0.46399999999999997,2022
DE0 1 biomass,DE0 1,biomass,0.324,2022
DE0 2 biomass,DE0 2,biomass,2.135,2022
