,bus,carrier,p_nom,year_removed
DE0 0 onwind,DE0 0,onwind,4.7,2044
DE0 0 solar,DE0 0,solar,39.471338,2044
DE0 1 onwind,DE0 1,onwind,19.75,2044
DE0 1 solar,DE0 1,solar,21.597267,2044
DE0 10 onwind,DE0 10,onwind,57.6,2044
DE0 10 solar,DE0 10,solar,20.778806,2044
DE0 11 onwind,DE0 11,onwind,4.2,2044
DE0 11 solar,DE0 11,solar,25.635628,2044
DE0 12 onwind,DE0 12,onwind,38.06,2044
DE0 12 solar,DE0 12,solar,27.775404,2044
DE0 13 onwind,DE0 13,onwind,15.15,2044
DE0 13 solar,DE0 13,solar,78.652977,2044
DE0 14 solar,DE0 14,solar,53.742466,2044
DE0 15 onwind,DE0 15,onwind,6.9,2044
DE0 15 solar,DE0 15,solar,35.147971,2044
DE0 16 onwind,DE0 16,onwind,2.4,2044
DE0 16 solar,DE0 16,solar,35.353018,2044
DE0 17 onwind,DE0 17,onwind,26.409999999999997,2044
DE0 17 solar,DE0 17,solar,39.831492,2044
DE0 18 onwind,DE0 18,onwind,6.75,2044
DE0 18 solar,DE0 18,solar,51.126643,2044
DE0 19 offwind-ac,DE0 19,offwind-ac,92.26,2044
DE0 19 offwind-dc,DE0 19,offwind-dc,104.26,2044
DE0 19 onwind,DE0 19,onwind,36.800000000000004,2044
DE0 19 solar,DE0 19,solar,19.6394,2044
DE0 2 onwind,DE0 2,onwind,6.4,2044
DE0 2 solar,DE0 2,solar,19.147276,2044
DE0 20 onwind,DE0 20,onwind,68.9,2044
DE0 20 solar,DE0 20,solar,78.630675,2044
DE0 21 onwind,DE0 21,onwind,3.3,2044
DE0 21 solar,DE0 21,solar,50.060548,2044
DE0 22 onwind,DE0 22,onwind,55.6,2044
DE0 22 solar,DE0 22,solar,74.32949599999999,2044
DE0 23 onwind,DE0 23,onwind,4.5,2044
DE0 23 solar,DE0 23,solar,87.361071,2044
DE0 24 onwind,DE0 24,onwind,13.75,2044
DE0 24 solar,DE0 24,solar,65.416668,2044
DE0 25 onwind,DE0 25,onwind,0.001,2044
DE0 25 solar,DE0 25,solar,47.797047,2044
DE0 26 solar,DE0 26,solar,26.89401,2044
DE0 27 onwind,DE0 27,onwind,17.8798,2044
DE0 27 solar,DE0 27,solar,59.043667,2044
DE0 28 solar,DE0 28,solar,29.903714,2044
DE0 29 solar,DE0 29,solar,46.704928,2044
DE0 3 onwind,DE0 3,onwind,6.9025,2044
DE0 3 solar,DE0 3,solar,70.521298,2044
DE0 30 onwind,DE0 30,onwind,8.4,2044
DE0 30 solar,DE0 30,solar,77.698533,2044
DE0 31 onwind,DE0 31,onwind,0.0015,2044
DE0 31 solar,DE0 31,solar,135.422462,2044
DE0 32 onwind,DE0 32,onwind,23.7,2044
DE0 32 solar,DE0 32,solar,29.327304,2044
DE0 33 solar,DE0 33,solar,80.776197,2044
