,carrier,p_nom,bus
DE0 0 CCGT,CCGT,1771.71231111,DE0 0
DE0 1 CCGT,CCGT,94.44095475,DE0 1
DE0 11 CCGT,CCGT,1109.7441789490001,DE0 11
DE0 13 CCGT,CCGT,813.1995810340001,DE0 13
DE0 2 CCGT,CCGT,118.36599662,DE0 2
DE0 20 CCGT,CCGT,2313.17378501,DE0 20
DE0 22 CCGT,CCGT,153.62395306,DE0 22
DE0 23 CCGT,CCGT,302.840661565,DE0 23
DE0 24 CCGT,CCGT,628.34715227,DE0 24
DE0 27 CCGT,CCGT,229.17671686,DE0 27
DE0 28 CCGT,CCGT,444.50209369,DE0 28
DE0 3 CCGT,CCGT,16.508278890299998,DE0 3
DE0 30 CCGT,CCGT,201.4740368,DE0 30
DE0 31 CCGT,CCGT,363.282872605,DE0 31
DE0 32 CCGT,CCGT,305.98869339000004,DE0 32
DE0 33 CCGT,CCGT,850.220435296,DE0 33
DE0 34 CCGT,CCGT,1217.029103545,DE0 34
DE0 35 CCGT,CCGT,327.3953098,DE0 35
DE0 36 CCGT,CCGT,2888.759923893,DE0 36
DE0 37 CCGT,CCGT,231.69514232,DE0 37
DE0 39 CCGT,CCGT,12.340284754,DE0 39
DE0 40 CCGT,CCGT,153.62395306,DE0 40
DE0 41 CCGT,CCGT,224.26578721299998,DE0 41
DE0 42 CCGT,CCGT,3069.0791868290003,DE0 42
DE0 43 CCGT,CCGT,94.44095475,DE0 43
DE0 44 CCGT,CCGT,185.10427131,DE0 44
DE0 45 CCGT,CCGT,357.61641532,DE0 45
DE0 46 CCGT,CCGT,720.395602833,DE0 46
DE0 50 CCGT,CCGT,48.857453924,DE0 50
DE0 52 CCGT,CCGT,224.51762975900002,DE0 52
DE0 57 CCGT,CCGT,98.21859294,DE0 57
DE0 58 CCGT,CCGT,98.21859294,DE0 58
DE0 59 CCGT,CCGT,737.89865978,DE0 59
DE0 60 CCGT,CCGT,50.3685092,DE0 60
DE0 63 CCGT,CCGT,135.99497484,DE0 63
DE0 8 CCGT,CCGT,578.356406889,DE0 8
DE0 9 CCGT,CCGT,559.09045212,DE0 9
DE0 0 OCGT,OCGT,48.731532651,DE0 0
DE0 1 OCGT,OCGT,100.862939673,DE0 1
DE0 11 OCGT,OCGT,152.994346695,DE0 11
DE0 13 OCGT,OCGT,1565.453265936,DE0 13
DE0 15 OCGT,OCGT,16.999371855,DE0 15
DE0 16 OCGT,OCGT,38.657830811,DE0 16
DE0 18 OCGT,OCGT,85.374623094,DE0 18
DE0 19 OCGT,OCGT,38.657830811,DE0 19
DE0 2 OCGT,OCGT,13.095812392,DE0 2
DE0 20 OCGT,OCGT,83.10804018,DE0 20
DE0 24 OCGT,OCGT,442.991038414,DE0 24
DE0 27 OCGT,OCGT,93.18174202,DE0 27
DE0 28 OCGT,OCGT,132.21733665,DE0 28
DE0 30 OCGT,OCGT,127.936013368,DE0 30
DE0 31 OCGT,OCGT,112.195854243,DE0 31
DE0 32 OCGT,OCGT,145.816834134,DE0 32
DE0 33 OCGT,OCGT,276.384228886756,DE0 33
DE0 34 OCGT,OCGT,47.220477375,DE0 34
DE0 35 OCGT,OCGT,84.115410364,DE0 35
DE0 36 OCGT,OCGT,138.63932157300002,DE0 36
DE0 37 OCGT,OCGT,60.44221104,DE0 37
DE0 38 OCGT,OCGT,85.500544367,DE0 38
DE0 39 OCGT,OCGT,536.046859161,DE0 39
DE0 41 OCGT,OCGT,932.8247903839999,DE0 41
DE0 44 OCGT,OCGT,395.015033401,DE0 44
DE0 46 OCGT,OCGT,138.38747902699998,DE0 46
DE0 47 OCGT,OCGT,176.2897822,DE0 47
DE0 48 OCGT,OCGT,22.791750413000003,DE0 48
DE0 5 OCGT,OCGT,37.7763819,DE0 5
DE0 51 OCGT,OCGT,71.77512561,DE0 51
DE0 54 OCGT,OCGT,90.66331656,DE0 54
DE0 57 OCGT,OCGT,27.073073695,DE0 57
DE0 58 OCGT,OCGT,86.633835824,DE0 58
DE0 59 OCGT,OCGT,503.685092,DE0 59
DE0 6 OCGT,OCGT,23.799120597,DE0 6
DE0 62 OCGT,OCGT,14.606867668,DE0 62
DE0 7 OCGT,OCGT,16.999371855,DE0 7
DE0 8 OCGT,OCGT,477.9719680534,DE0 8
DE0 9 OCGT,OCGT,903.233291229,DE0 9
