,carrier,p_nom,bus,year_removed
DE0 39 coal,coal,336.0,DE0 39,2067.0
DE0 39 coal,coal,433.0,DE0 39,2055.0
DE0 42 coal,coal,717.0,DE0 42,2031.0
DE0 9 coal,coal,89.0,DE0 9,2040.0
DE0 9 coal,coal,282.0,DE0 9,2037.0
DE0 9 coal,coal,282.0,DE0 9,2038.0
DE0 1 coal,coal,726.0,DE0 1,2033.0
DE0 2 coal,coal,43.3,DE0 2,2034.0
DE0 8 coal,coal,119.0,DE0 8,2039.0
DE0 8 coal,coal,303.0,DE0 8,2029.0
DE0 8 coal,coal,350.0,DE0 8,2039.0
DE0 13 coal,coal,370.0,DE0 13,2038.0
DE0 13 coal,coal,725.0,DE0 13,2063.0
DE0 40 coal,coal,17.4,DE0 40,2032.0
DE0 57 coal,coal,31.0,DE0 57,2042.0
DE0 57 coal,coal,33.0,DE0 57,2039.0
DE0 57 coal,coal,33.0,DE0 57,2035.0
DE0 44 coal,coal,61.5,DE0 44,2038.0
DE0 44 coal,coal,61.5,DE0 44,2039.0
DE0 24 coal,coal,70.0,DE0 24,2035.0
DE0 44 coal,coal,510.0,DE0 44,2042.0
DE0 45 coal,coal,194.0,DE0 45,2043.0
DE0 45 coal,coal,123.0,DE0 45,2032.0
DE0 45 coal,coal,137.0,DE0 45,2031.0
DE0 42 coal,coal,763.7,DE0 42,2064.0
DE0 32 coal,coal,136.0,DE0 32,2039.0
DE0 32 coal,coal,136.0,DE0 32,2039.0
DE0 14 coal,coal,125.0,DE0 14,2035.0
DE0 14 coal,coal,125.0,DE0 14,2036.0
DE0 14 coal,coal,778.0,DE0 14,2055.0
DE0 24 coal,coal,449.0,DE0 24,2059.0
DE0 32 coal,coal,690.0,DE0 32,2049.0
DE0 42 coal,coal,794.0,DE0 42,2055.0
DE0 44 coal,coal,66.0,DE0 44,2039.0
DE0 62 coal,coal,13.4,DE0 62,2046.0
DE0 28 coal,coal,517.0,DE0 28,2055.0
DE0 28 coal,coal,834.0,DE0 28,2064.0
DE0 13 coal,coal,110.0,DE0 13,2021.0
DE0 62 coal,coal,255.0,DE0 62,2055.0
DE0 62 coal,coal,425.0,DE0 62,2032.0
DE0 62 coal,coal,435.0,DE0 62,2043.0
DE0 62 coal,coal,843.0,DE0 62,2065.0
DE0 24 coal,coal,55.56,DE0 24,2021.0
DE0 24 coal,coal,68.4,DE0 24,2033.0
DE0 44 coal,coal,54.0,DE0 44,2040.0
DE0 17 coal,coal,875.0,DE0 17,2037.0
DE0 14 coal,coal,26.9,DE0 14,2040.0
DE0 1 coal,coal,655.6,DE0 1,2026.0
DE0 63 coal,coal,514.0,DE0 63,2044.0
DE0 1 coal,coal,50.0,DE0 1,2058.0
DE0 44 coal,coal,24.79,DE0 44,2020.0
DE0 14 coal,coal,45.0,DE0 14,2032.0
DE0 14 coal,coal,45.0,DE0 14,2034.0
DE0 33 coal,coal,332.7,DE0 33,2041.0
DE0 1 coal,coal,179.0,DE0 1,2032.0
DE0 1 coal,coal,211.0,DE0 1,2039.0
DE0 14 coal,coal,96.0,DE0 14,2034.0
DE0 14 coal,coal,148.0,DE0 14,2037.0
DE0 8 coal,coal,757.0,DE0 8,2026.0
DE0 32 coal,coal,61.5,DE0 32,2050.0
DE0 2 coal,coal,61.5,DE0 2,2050.0
DE0 32 coal,coal,138.5,DE0 32,2035.0
DE0 2 coal,coal,138.5,DE0 2,2035.0
DE0 33 coal,coal,472.0,DE0 33,2055.0
DE0 29 coal,coal,20.7,DE0 29,2042.0
DE0 24 coal,coal,735.0,DE0 24,2063.0
DE0 45 coal,coal,800.0,DE0 45,2065.0
DE0 45 coal,coal,800.0,DE0 45,2065.0
DE0 8 coal,coal,731.0,DE0 8,2065.0
