,p_nom,carrier,bus
DE0 18 offwind-ac,197.82999999999998,offwind-ac,DE0 18
DE0 19 offwind-ac,849.724,offwind-ac,DE0 19
DE0 53 offwind-ac,2189.632,offwind-ac,DE0 53
DE0 57 offwind-ac,126.0,offwind-ac,DE0 57
DE0 63 offwind-ac,171.3,offwind-ac,DE0 63
DE0 18 offwind-dc,373.83,offwind-dc,DE0 18
DE0 19 offwind-dc,978.168,offwind-dc,DE0 19
DE0 53 offwind-dc,2184.1240000000003,offwind-dc,DE0 53
DE0 0 onwind,230.99997,onwind,DE0 0
DE0 1 onwind,684.5079,onwind,DE0 1
DE0 10 onwind,879.1034999999999,onwind,DE0 10
DE0 11 onwind,401.8795,onwind,DE0 11
DE0 12 onwind,977.7660999999999,onwind,DE0 12
DE0 13 onwind,613.6843,onwind,DE0 13
DE0 14 onwind,65.1751,onwind,DE0 14
DE0 15 onwind,1245.8207,onwind,DE0 15
DE0 16 onwind,104.87370999999999,onwind,DE0 16
DE0 17 onwind,1639.2697,onwind,DE0 17
DE0 18 onwind,1307.4707,onwind,DE0 18
DE0 19 onwind,2684.65,onwind,DE0 19
DE0 2 onwind,678.015,onwind,DE0 2
DE0 20 onwind,1613.3185,onwind,DE0 20
DE0 21 onwind,674.4135,onwind,DE0 21
DE0 22 onwind,1665.236,onwind,DE0 22
DE0 23 onwind,1516.5665,onwind,DE0 23
DE0 24 onwind,349.11004,onwind,DE0 24
DE0 25 onwind,176.28355,onwind,DE0 25
DE0 26 onwind,278.0375,onwind,DE0 26
DE0 27 onwind,555.81748,onwind,DE0 27
DE0 28 onwind,136.63815,onwind,DE0 28
DE0 29 onwind,19.98651,onwind,DE0 29
DE0 3 onwind,595.8623,onwind,DE0 3
DE0 30 onwind,2441.9408,onwind,DE0 30
DE0 31 onwind,15.49699,onwind,DE0 31
DE0 32 onwind,904.3385,onwind,DE0 32
DE0 33 onwind,36.11036,onwind,DE0 33
DE0 34 onwind,444.9518,onwind,DE0 34
DE0 35 onwind,444.9206,onwind,DE0 35
DE0 36 onwind,165.1221,onwind,DE0 36
DE0 37 onwind,761.0756,onwind,DE0 37
DE0 38 onwind,2097.8095,onwind,DE0 38
DE0 39 onwind,49.56272,onwind,DE0 39
DE0 4 onwind,290.7176,onwind,DE0 4
DE0 40 onwind,568.15413,onwind,DE0 40
DE0 41 onwind,665.3416,onwind,DE0 41
DE0 42 onwind,780.19194,onwind,DE0 42
DE0 43 onwind,1651.887,onwind,DE0 43
DE0 44 onwind,175.3115,onwind,DE0 44
DE0 45 onwind,668.0998,onwind,DE0 45
DE0 46 onwind,1305.05176,onwind,DE0 46
DE0 47 onwind,101.90317,onwind,DE0 47
DE0 48 onwind,717.912,onwind,DE0 48
DE0 49 onwind,31.105,onwind,DE0 49
DE0 5 onwind,109.35605,onwind,DE0 5
DE0 50 onwind,1093.6462999999999,onwind,DE0 50
DE0 51 onwind,196.4832,onwind,DE0 51
DE0 52 onwind,297.834025,onwind,DE0 52
DE0 53 onwind,2706.1442,onwind,DE0 53
DE0 54 onwind,731.5868,onwind,DE0 54
DE0 56 onwind,1807.7485,onwind,DE0 56
DE0 57 onwind,4619.22497,onwind,DE0 57
DE0 58 onwind,456.03325,onwind,DE0 58
DE0 59 onwind,1089.8727,onwind,DE0 59
DE0 6 onwind,541.981543,onwind,DE0 6
DE0 60 onwind,148.7991,onwind,DE0 60
DE0 61 onwind,414.90325,onwind,DE0 61
DE0 62 onwind,674.4895,onwind,DE0 62
DE0 63 onwind,954.73935,onwind,DE0 63
DE0 7 onwind,260.96178,onwind,DE0 7
DE0 8 onwind,2013.8338999999999,onwind,DE0 8
DE0 9 onwind,1477.773915,onwind,DE0 9
DE0 0 solar,1150.499044,solar,DE0 0
DE0 1 solar,522.441787,solar,DE0 1
DE0 10 solar,552.80536,solar,DE0 10
DE0 11 solar,425.563874,solar,DE0 11
DE0 12 solar,422.921133,solar,DE0 12
DE0 13 solar,980.3216630000001,solar,DE0 13
DE0 14 solar,775.052582,solar,DE0 14
DE0 15 solar,459.140944,solar,DE0 15
DE0 16 solar,1042.216292,solar,DE0 16
DE0 17 solar,530.276942,solar,DE0 17
DE0 18 solar,640.174657,solar,DE0 18
DE0 19 solar,448.119502,solar,DE0 19
DE0 2 solar,308.858427,solar,DE0 2
DE0 20 solar,914.135776,solar,DE0 20
DE0 21 solar,789.628595,solar,DE0 21
DE0 22 solar,1529.932071,solar,DE0 22
DE0 23 solar,876.208383,solar,DE0 23
DE0 24 solar,637.751693,solar,DE0 24
DE0 25 solar,935.305011,solar,DE0 25
DE0 26 solar,415.947584,solar,DE0 26
DE0 27 solar,704.393592,solar,DE0 27
DE0 28 solar,507.548046,solar,DE0 28
DE0 29 solar,791.516621,solar,DE0 29
DE0 3 solar,778.466226,solar,DE0 3
DE0 30 solar,1046.071368,solar,DE0 30
DE0 31 solar,2868.963603,solar,DE0 31
DE0 32 solar,381.023521,solar,DE0 32
DE0 33 solar,1448.840615,solar,DE0 33
DE0 34 solar,864.78275,solar,DE0 34
DE0 35 solar,625.302882,solar,DE0 35
DE0 36 solar,445.750276,solar,DE0 36
DE0 37 solar,820.046901,solar,DE0 37
DE0 38 solar,776.275664,solar,DE0 38
DE0 39 solar,893.317483,solar,DE0 39
DE0 4 solar,300.657448,solar,DE0 4
DE0 40 solar,1036.331266,solar,DE0 40
DE0 41 solar,566.473228,solar,DE0 41
DE0 42 solar,886.852664,solar,DE0 42
DE0 43 solar,676.351088,solar,DE0 43
DE0 44 solar,501.400278,solar,DE0 44
DE0 45 solar,261.357416,solar,DE0 45
DE0 46 solar,1121.545979,solar,DE0 46
DE0 47 solar,1192.922599,solar,DE0 47
DE0 48 solar,808.297122,solar,DE0 48
DE0 49 solar,761.072062,solar,DE0 49
DE0 5 solar,707.615154,solar,DE0 5
DE0 50 solar,464.295325,solar,DE0 50
DE0 51 solar,535.479404,solar,DE0 51
DE0 52 solar,981.101874,solar,DE0 52
DE0 53 solar,591.316979,solar,DE0 53
DE0 54 solar,509.068986,solar,DE0 54
DE0 56 solar,745.589677,solar,DE0 56
DE0 57 solar,1206.642704,solar,DE0 57
DE0 58 solar,505.722488,solar,DE0 58
DE0 59 solar,525.559574,solar,DE0 59
DE0 6 solar,1130.187159,solar,DE0 6
DE0 60 solar,521.336043,solar,DE0 60
DE0 61 solar,404.274599,solar,DE0 61
DE0 62 solar,485.2073525,solar,DE0 62
DE0 63 solar,558.306238,solar,DE0 63
DE0 7 solar,517.421351,solar,DE0 7
DE0 8 solar,739.679768,solar,DE0 8
DE0 9 solar,1353.373724,solar,DE0 9
