,p_nom,carrier,bus
DE0 0 biomass,105.85860000000001,biomass,DE0 0
DE0 1 biomass,25.4732,biomass,DE0 1
DE0 10 biomass,56.5116,biomass,DE0 10
DE0 11 biomass,70.2636,biomass,DE0 11
DE0 12 biomass,232.72,biomass,DE0 12
DE0 13 biomass,149.2737,biomass,DE0 13
DE0 14 biomass,102.14659999999999,biomass,DE0 14
DE0 15 biomass,81.446,biomass,DE0 15
DE0 16 biomass,167.80089999999998,biomass,DE0 16
DE0 17 biomass,239.278875,biomass,DE0 17
DE0 18 biomass,72.62035,biomass,DE0 18
DE0 19 biomass,80.0745,biomass,DE0 19
DE0 2 biomass,100.051,biomass,DE0 2
DE0 20 biomass,202.6355,biomass,DE0 20
DE0 21 biomass,93.1533,biomass,DE0 21
DE0 22 biomass,107.1126,biomass,DE0 22
DE0 23 biomass,125.154,biomass,DE0 23
DE0 24 biomass,133.1194,biomass,DE0 24
DE0 25 biomass,164.75946,biomass,DE0 25
DE0 26 biomass,60.31249999999999,biomass,DE0 26
DE0 27 biomass,161.0132,biomass,DE0 27
DE0 28 biomass,32.064350000000005,biomass,DE0 28
DE0 29 biomass,168.7081,biomass,DE0 29
DE0 3 biomass,94.6515,biomass,DE0 3
DE0 30 biomass,278.51546,biomass,DE0 30
DE0 31 biomass,245.3923,biomass,DE0 31
DE0 32 biomass,179.208,biomass,DE0 32
DE0 33 biomass,279.96396,biomass,DE0 33
DE0 34 biomass,64.44877000000001,biomass,DE0 34
DE0 35 biomass,97.8185,biomass,DE0 35
DE0 36 biomass,35.6106,biomass,DE0 36
DE0 37 biomass,205.0264,biomass,DE0 37
DE0 38 biomass,169.7285,biomass,DE0 38
DE0 39 biomass,91.0474,biomass,DE0 39
DE0 4 biomass,19.621000000000002,biomass,DE0 4
DE0 40 biomass,75.58672,biomass,DE0 40
DE0 41 biomass,40.7995,biomass,DE0 41
DE0 42 biomass,153.80066,biomass,DE0 42
DE0 43 biomass,97.565,biomass,DE0 43
DE0 44 biomass,61.79695,biomass,DE0 44
DE0 45 biomass,174.21725,biomass,DE0 45
DE0 46 biomass,111.9753,biomass,DE0 46
DE0 47 biomass,121.87206,biomass,DE0 47
DE0 48 biomass,152.68314,biomass,DE0 48
DE0 49 biomass,108.3115,biomass,DE0 49
DE0 5 biomass,113.7428,biomass,DE0 5
DE0 50 biomass,29.3415,biomass,DE0 50
DE0 51 biomass,68.8139,biomass,DE0 51
DE0 52 biomass,184.88545,biomass,DE0 52
DE0 53 biomass,212.574,biomass,DE0 53
DE0 54 biomass,57.042300000000004,biomass,DE0 54
DE0 56 biomass,136.671,biomass,DE0 56
DE0 57 biomass,417.4443,biomass,DE0 57
DE0 58 biomass,92.5458,biomass,DE0 58
DE0 59 biomass,49.272431,biomass,DE0 59
DE0 6 biomass,223.6412,biomass,DE0 6
DE0 60 biomass,53.3303,biomass,DE0 60
DE0 61 biomass,53.8797,biomass,DE0 61
DE0 62 biomass,26.379800000000003,biomass,DE0 62
DE0 63 biomass,109.039,biomass,DE0 63
DE0 7 biomass,63.1588,biomass,DE0 7
DE0 8 biomass,244.99444000000003,biomass,DE0 8
DE0 9 biomass,222.6378,biomass,DE0 9
