id,name,carrier,technology,component,country,p_nom,max_hours,volume_mm3,damheight_m,yearcommissioned,retrofit,lat,lon,projectid,yeardecommissioning,bus
584,Pumpspeicherwerk rönkhausen rönkhausen germany rönkhausen germany,hydro,Pumped Storage,Store,DE,138.0,4.27536231884058,1.0,265.0,1969,2003.0,51.22475,7.99281,"{'JRC': ['H372'], 'OPSD': ['BNA0268'], 'GEO': ['GEO44354'], 'CARMA': ['CARMA37921']}",2103,4678
593,Wendefurth wendefurth germany wendefurth germany,hydro,Pumped Storage,Store,DE,79.7,6.9134253450439145,1.97,126.0,1967,1967.0,51.74223,10.91879,"{'JRC': ['H623'], 'OPSD': ['BNA1031'], 'GEO': ['GEO44353'], 'CARMA': ['CARMA49224']}",2067,4767
596,Hohenwarte,hydro,Pumped Storage,Store,DE,379.8,6.411269088994207,6.279999999999999,360.0,1959,1965.0,50.614668115,11.492064185,"{'JRC': ['H750', 'H135'], 'OPSD': ['BNA0465', 'BNA0467'], 'ENTSOE': ['11WD8HOH22H----1'], 'CARMA': ['CARMA18067']}",2065,4501
608,Rheinkraftwerk iffezheim rheinkraftwerk iffezheim,hydro,Run-Of-River,Store,DE,146.0,0.0,0.0,0.0,1978,1978.0,48.83135,8.112160000000001,"{'JRC': ['H340'], 'OPSD': ['BNA0494'], 'ENTSOE': ['11WD4IFFE5G----Z'], 'CARMA': ['CARMA19094']}",2078,3464
612,Geesthacht,hydro,Pumped Storage,Store,DE,119.1,5.373635600335852,3.6,80.0,1958,1958.0,53.42605,10.3359,"{'JRC': ['H432'], 'OPSD': ['BNA0327'], 'ENTSOE': ['11WD8GEHA5H----R'], 'CARMA': ['CARMA14808']}",2058,5685
636,Rheinfelden,hydro,Run-Of-River,Store,DE,46.7,0.0,0.0,0.0,2010,2010.0,47.56990573,7.810113464,"{'JRC': ['H884'], 'OPSD': ['BNA0835'], 'ENTSOE': ['11WD4KWRHF5-S--Z'], 'CARMA': ['CARMA37180', 'CARMA49260', 'CARMA37179']}",2110,3458
712,Schwabstadl,hydro,Run-Of-River,Store,DE,12.0,0.0,0.0,0.0,1981,1981.0,48.148375,10.867023,"{'JRC': ['H1668'], 'OPSD': ['BNA1245'], 'GPD': ['WRI1030376'], 'CARMA': ['CARMA40212']}",2081,3499
861,Voelklingen,coal,OCGT,PP,DE,390.0,0.0,0.0,0.0,1983,1983.0,49.2556226,6.8588948000000025,"{'ENTSOE': ['11WD7VOLK5S--KWI'], 'GEO': ['GEO44330'], 'CARMA': ['CARMA48515', 'CARMA48514']}",2028,4608
868,Elverlingsen,coal,OCGT,PP,DE,325.0,0.0,0.0,0.0,1983,1983.0,51.2753369,7.706670699999999,"{'ENTSOE': ['11WD7GARE5XELKWD'], 'GEO': ['GEO6033'], 'CARMA': ['CARMA49248']}",2028,4688
879,Kraftwerk voerde,coal,OCGT,PP,DE,1390.0,0.0,0.0,0.0,2005,2005.0,51.6005212,6.654411099999999,"{'ENTSOE': ['11WD7VOER1S--KWG'], 'GEO': ['GEO44200'], 'CARMA': ['CARMA48464', 'CARMA49302']}",2050,4642
915,Mittelsbüren,CCGT,CCGT,PP,DE,444.5,0.0,0.0,0.0,2016,2016.0,53.12891,8.68524,"{'OPSD': ['BNA1820'], 'ENTSOE': ['11WD2GKBB000334V', '11WD2BMIT0002731'], 'CARMA': ['CARMA28759']}",2056,5739
916,Merkenich,CCGT,CCGT,CHP,DE,123.5,0.0,0.0,0.0,2004,2010.0,51.0178545,6.964197499999999,"{'OPSD': ['BNA1182', 'BNA0546'], 'ENTSOE': ['11WD7FUEH5GMEKW7'], 'CARMA': ['CARMA28116']}",2050,4650
918,Gkl,CCGT,CCGT,PP,DE,230.0,0.0,0.0,0.0,1998,2013.0,52.372917,9.714194,"{'OPSD': ['BNA0418'], 'ENTSOE': ['11WD2LIND5G----6'], 'CARMA': ['CARMA25307']}",2053,4768
920,Leipzig nord,CCGT,CCGT,CHP,DE,167.0,0.0,0.0,0.0,1996,2010.0,51.35119,12.37843,"{'OPSD': ['BNA0588'], 'ENTSOE': ['11WD8LEIP5X----6'], 'CARMA': ['CARMA24884']}",2050,4553
923,Gemeinschaftskraftwerk kiel,coal,OCGT,CHP,DE,323.0,0.0,0.0,0.0,1970,1992.0,54.33945,10.1766,"{'OPSD': ['BNA0526'], 'ENTSOE': ['11WD2KIKW000301W'], 'CARMA': ['CARMA22058']}",2037,5684
925,Burghausen,CCGT,CCGT,CHP,DE,170.0,0.0,0.0,0.0,1979,2001.0,48.186212,12.845768,"{'OPSD': ['BNA0172b', 'BNA0172a'], 'ENTSOE': ['11WD2BUKW000310A'], 'CARMA': ['CARMA6289']}",2041,3320
927,Huntorf,OCGT,OCGT,PP,DE,321.0,0.0,0.0,0.0,1978,2006.0,53.18969,8.40869,"{'OPSD': ['BNA0239'], 'ENTSOE': ['11WD2HUKW000298J'], 'CARMA': ['CARMA18872']}",2046,5661
928,Hastedt,coal,OCGT,CHP,DE,119.0,0.0,0.0,0.0,2014,2014.0,53.060080000000006,8.873280000000003,"{'OPSD': ['BNA0144'], 'ENTSOE': ['11WD2BHAS000271O'], 'CARMA': ['CARMA17086']}",2059,5662
929,Gkh,coal,OCGT,CHP,DE,272.0,0.0,0.0,0.0,1989,1989.0,52.42,9.648611,"{'OPSD': ['BNA0421', 'BNA0420'], 'ENTSOE': ['11WD2HANN5C----0'], 'CARMA': ['CARMA16816']}",2034,4768
930,Hafen,coal,OCGT,PP,DE,303.0,0.0,0.0,0.0,1979,1979.0,53.124860999999996,8.728657,"{'OPSD': ['BNA0146'], 'ENTSOE': ['11WD2BHAF000272F'], 'CARMA': ['CARMA16476']}",2024,5739
934,Farge,coal,OCGT,PP,DE,350.0,0.0,0.0,0.0,1969,2007.0,53.20206653,8.516153926,"{'OPSD': ['BNA0147'], 'ENTSOE': ['11WD2FARK000287K'], 'CARMA': ['CARMA13152']}",2052,5661
946,Süd,CCGT,CCGT,CHP,DE,651.9,0.0,0.0,0.0,1980,2004.0,48.1351253,11.5819806,"{'OPSD': ['BNA0684b', 'BNA0684c', 'BNA0683a', 'BNA0684a', 'BNA0683b', 'BNA0683c'], 'GEO': ['GEO44307'], 'CARMA': ['CARMA29846', 'CARMA30870']}",2044,3314
973,Gersteinwerk,coal,OCGT,PP,DE,614.0,0.0,0.0,0.0,1984,1984.0,51.672453000000004,7.7099470000000005,"{'OPSD': ['BNA1046a'], 'GEO': ['GEO44437'], 'CARMA': ['CARMA49273']}",2029,4644
983,Moabit,coal,OCGT,CHP,DE,89.0,0.0,0.0,0.0,1989,1990.0,52.53735111,13.34611416,"{'OPSD': ['BNA0085a'], 'ENTSOE': ['11WD8MOAB5X----5'], 'CARMA': ['CARMA28839']}",2035,5539
984,Niederrad,OCGT,OCGT,CHP,DE,70.0,0.0,0.0,0.0,2004,2004.0,50.0856,8.62785,"{'OPSD': ['BNA0285'], 'ENTSOE': ['11WD2NDR-000204Q'], 'CARMA': ['CARMA17948']}",2044,4781
1049,Tiefstack,coal,OCGT,CHP,DE,194.0,0.0,0.0,0.0,1993,1993.0,53.52616631,10.06317616,"{'OPSD': ['BNA0402'], 'ENTSOE': ['11WD8TIEF5X----V'], 'CARMA': ['CARMA45410']}",2038,5682
1052,Iks pck schwedt,oil,OCGT,CHP,DE,333.5,0.0,0.0,0.0,1972,2011.0,53.098180000000006,14.234539999999999,"{'OPSD': ['BNA0894b', 'BNA0894e', 'BNA0894a', 'BNA0894c', 'BNA0894d'], 'ENTSOE': ['11WD8SCHW5X----D'], 'CARMA': ['CARMA40243']}",2051,5540
