,bus,carrier,p_nom,year_removed
DE0 0 biomass,DE0 0,biomass,7.0785,2049
DE0 1 biomass,DE0 1,biomass,3.254,2049
DE0 2 biomass,DE0 2,biomass,9.136,2049
DE0 0 biomass,DE0 0,biomass,21.8775,2048
DE0 1 biomass,DE0 1,biomass,8.4107,2048
DE0 2 biomass,DE0 2,biomass,20.6335,2048
DE0 0 biomass,DE0 0,biomass,5.1206,2047
DE0 1 biomass,DE0 1,biomass,4.087,2047
DE0 2 biomass,DE0 2,biomass,7.3755,2047
DE0 0 biomass,DE0 0,biomass,8.0538,2046
DE0 1 biomass,DE0 1,biomass,7.0716,2046
DE0 2 biomass,DE0 2,biomass,11.652,2046
DE0 0 biomass,DE0 0,biomass,5.6497,2045
DE0 1 biomass,DE0 1,biomass,4.31546,2045
DE0 2 biomass,DE0 2,biomass,5.1177,2045
DE0 0 biomass,DE0 0,biomass,46.5186,2044
DE0 1 biomass,DE0 1,biomass,90.9601,2044
DE0 2 biomass,DE0 2,biomass,84.99746,2044
DE0 0 biomass,DE0 0,biomass,67.4111,2043
DE0 1 biomass,DE0 1,biomass,104.03790000000001,2043
DE0 2 biomass,DE0 2,biomass,95.7024,2043
DE0 0 biomass,DE0 0,biomass,87.9449,2042
DE0 1 biomass,DE0 1,biomass,105.33886,2042
DE0 2 biomass,DE0 2,biomass,105.2665,2042
DE0 0 biomass,DE0 0,biomass,275.6808,2041
DE0 1 biomass,DE0 1,biomass,308.1104,2041
DE0 2 biomass,DE0 2,biomass,649.3902,2041
DE0 0 biomass,DE0 0,biomass,218.05795,2040
DE0 1 biomass,DE0 1,biomass,172.87800000000001,2040
DE0 2 biomass,DE0 2,biomass,369.79326000000003,2040
DE0 0 biomass,DE0 0,biomass,157.70732,2039
DE0 1 biomass,DE0 1,biomass,142.9332,2039
DE0 2 biomass,DE0 2,biomass,235.617375,2039
DE0 0 biomass,DE0 0,biomass,109.6415,2038
DE0 1 biomass,DE0 1,biomass,137.6655,2038
DE0 2 biomass,DE0 2,biomass,165.12799,2038
DE0 0 biomass,DE0 0,biomass,200.53847,2037
DE0 1 biomass,DE0 1,biomass,230.74995,2037
DE0 2 biomass,DE0 2,biomass,279.191211,2037
DE0 0 biomass,DE0 0,biomass,298.43626,2036
DE0 1 biomass,DE0 1,biomass,287.3058,2036
DE0 2 biomass,DE0 2,biomass,384.89300000000003,2036
DE0 0 biomass,DE0 0,biomass,298.7801,2035
DE0 1 biomass,DE0 1,biomass,208.7548,2035
DE0 2 biomass,DE0 2,biomass,285.634,2035
DE0 0 biomass,DE0 0,biomass,201.9561,2034
DE0 1 biomass,DE0 1,biomass,267.18649999999997,2034
DE0 2 biomass,DE0 2,biomass,152.6808,2034
DE0 0 biomass,DE0 0,biomass,100.2405,2033
DE0 1 biomass,DE0 1,biomass,57.477,2033
DE0 2 biomass,DE0 2,biomass,58.3807,2033
DE0 0 biomass,DE0 0,biomass,46.05666,2032
DE0 1 biomass,DE0 1,biomass,75.486,2032
DE0 2 biomass,DE0 2,biomass,38.693,2032
DE0 0 biomass,DE0 0,biomass,83.1763,2031
DE0 1 biomass,DE0 1,biomass,53.927,2031
DE0 2 biomass,DE0 2,biomass,52.0045,2031
DE0 0 biomass,DE0 0,biomass,77.7508,2030
DE0 1 biomass,DE0 1,biomass,29.299000000000003,2030
DE0 2 biomass,DE0 2,biomass,90.4465,2030
DE0 0 biomass,DE0 0,biomass,21.712,2029
DE0 1 biomass,DE0 1,biomass,8.7948,2029
DE0 2 biomass,DE0 2,biomass,7.927,2029
DE0 0 biomass,DE0 0,biomass,10.6935,2028
DE0 1 biomass,DE0 1,biomass,5.508,2028
DE0 2 biomass,DE0 2,biomass,21.174,2028
DE0 0 biomass,DE0 0,biomass,14.219,2027
DE0 1 biomass,DE0 1,biomass,12.462,2027
DE0 2 biomass,DE0 2,biomass,16.341,2027
DE0 0 biomass,DE0 0,biomass,3.426,2026
DE0 1 biomass,DE0 1,biomass,1.592,2026
DE0 2 biomass,DE0 2,biomass,8.719,2026
DE0 0 biomass,DE0 0,biomass,8.152,2025
DE0 1 biomass,DE0 1,biomass,2.7359999999999998,2025
DE0 2 biomass,DE0 2,biomass,6.334,2025
DE0 0 biomass,DE0 0,biomass,18.61,2024
DE0 1 biomass,DE0 1,biomass,7.29,2024
DE0 2 biomass,DE0 2,biomass,4.276,2024
DE0 0 biomass,DE0 0,biomass,1.0130000000000001,2023
DE0 1 biomass,DE0 1,biomass,28.6132,2023
DE0 2 biomass,DE0 2,biomass,5.4719999999999995,2023
DE0 0 biomass,DE0 0,biomass,0.788,2022
DE0 2 biomass,DE0 2,biomass,3.383,2022
DE0 0 biomass,DE0 0,biomass,3.0300000000000002,2021
DE0 1 biomass,DE0 1,biomass,0.259,2021
DE0 2 biomass,DE0 2,biomass,0.57,2021
DE0 0 biomass,DE0 0,biomass,1.436,2020
DE0 2 biomass,DE0 2,biomass,3.476,2020
DE0 0 biomass,DE0 0,biomass,0.12,2019
DE0 2 biomass,DE0 2,biomass,3.8,2019
