,bus,carrier,p_nom,year_removed
DE0 0 onwind,DE0 0,onwind,146.70080000000002,2044
DE0 0 solar,DE0 0,solar,1040.6478905,2044
DE0 1 offwind-ac,DE0 1,offwind-ac,6.33,2044
DE0 1 onwind,DE0 1,onwind,283.3193,2044
DE0 1 solar,DE0 1,solar,1103.529175,2044
DE0 2 offwind-ac,DE0 2,offwind-ac,342.58,2044
DE0 2 offwind-dc,DE0 2,offwind-dc,341.97,2044
DE0 2 onwind,DE0 2,onwind,356.5715,2044
DE0 2 solar,DE0 2,solar,898.412798,2044
DE0 0 onwind,DE0 0,onwind,429.21788,2043
DE0 0 solar,DE0 0,solar,933.818222,2043
DE0 1 onwind,DE0 1,onwind,606.493,2043
DE0 1 solar,DE0 1,solar,1273.832302,2043
DE0 2 offwind-ac,DE0 2,offwind-ac,493.40000000000003,2043
DE0 2 offwind-dc,DE0 2,offwind-dc,481.40000000000003,2043
DE0 2 onwind,DE0 2,onwind,1291.184,2043
DE0 2 solar,DE0 2,solar,639.436635,2043
DE0 0 onwind,DE0 0,onwind,965.9168,2042
DE0 0 solar,DE0 0,solar,541.786602,2042
DE0 1 offwind-ac,DE0 1,offwind-ac,186.85,2042
DE0 1 offwind-dc,DE0 1,offwind-dc,172.65,2042
DE0 1 onwind,DE0 1,onwind,1379.9338,2042
DE0 1 solar,DE0 1,solar,551.399703,2042
DE0 2 offwind-ac,DE0 2,offwind-ac,438.0,2042
DE0 2 offwind-dc,DE0 2,offwind-dc,455.40000000000003,2042
DE0 2 onwind,DE0 2,onwind,2979.1726,2042
DE0 2 solar,DE0 2,solar,321.90662199999997,2042
DE0 0 onwind,DE0 0,onwind,880.68278,2041
DE0 0 solar,DE0 0,solar,422.662055,2041
DE0 1 offwind-ac,DE0 1,offwind-ac,6.264,2041
DE0 1 offwind-dc,DE0 1,offwind-dc,6.264,2041
DE0 1 onwind,DE0 1,onwind,1309.20846,2041
DE0 1 solar,DE0 1,solar,776.444325,2041
DE0 2 offwind-ac,DE0 2,offwind-ac,422.47200000000004,2041
DE0 2 offwind-dc,DE0 2,offwind-dc,420.408,2041
DE0 2 onwind,DE0 2,onwind,2312.9238,2041
DE0 2 solar,DE0 2,solar,273.750997,2041
