,p_nom,carrier,bus
DE0 12 offwind-ac,162.1,offwind-ac,DE0 12
DE0 15 offwind-ac,323.3,offwind-ac,DE0 15
DE0 19 offwind-ac,1885.804,offwind-ac,DE0 19
DE0 27 offwind-ac,237.98399999999998,offwind-ac,DE0 27
DE0 28 offwind-ac,925.298,offwind-ac,DE0 28
DE0 15 offwind-dc,2062.952,offwind-dc,DE0 15
DE0 27 offwind-dc,363.378,offwind-dc,DE0 27
DE0 28 offwind-dc,1109.792,offwind-dc,DE0 28
DE0 0 onwind,3641.1453,onwind,DE0 0
DE0 1 onwind,591.01992,onwind,DE0 1
DE0 10 onwind,1985.9563,onwind,DE0 10
DE0 11 onwind,325.97002299999997,onwind,DE0 11
DE0 12 onwind,3614.97185,onwind,DE0 12
DE0 13 onwind,619.99855,onwind,DE0 13
DE0 14 onwind,804.8256,onwind,DE0 14
DE0 15 onwind,2752.3677,onwind,DE0 15
DE0 16 onwind,2530.2986499999997,onwind,DE0 16
DE0 17 onwind,1287.82873,onwind,DE0 17
DE0 18 onwind,861.8533,onwind,DE0 18
DE0 19 onwind,3866.1376999999998,onwind,DE0 19
DE0 2 onwind,1553.5698,onwind,DE0 2
DE0 20 onwind,402.20085,onwind,DE0 20
DE0 21 onwind,44.78546,onwind,DE0 21
DE0 22 onwind,243.31165,onwind,DE0 22
DE0 23 onwind,1138.45658,onwind,DE0 23
DE0 24 onwind,582.442205,onwind,DE0 24
DE0 25 onwind,2411.1852,onwind,DE0 25
DE0 26 onwind,1239.0944,onwind,DE0 26
DE0 27 onwind,2027.8591,onwind,DE0 27
DE0 28 onwind,7024.98367,onwind,DE0 28
DE0 29 onwind,1674.0247,onwind,DE0 29
DE0 3 onwind,1626.6679,onwind,DE0 3
DE0 30 onwind,951.67168,onwind,DE0 30
DE0 31 onwind,443.99218,onwind,DE0 31
DE0 4 onwind,26.12999,onwind,DE0 4
DE0 5 onwind,261.72155,onwind,DE0 5
DE0 6 onwind,3709.941515,onwind,DE0 6
DE0 7 onwind,1878.566,onwind,DE0 7
DE0 8 onwind,1129.41266,onwind,DE0 8
DE0 9 onwind,1754.5123,onwind,DE0 9
DE0 0 solar,2280.413328,solar,DE0 0
DE0 1 solar,2030.959538,solar,DE0 1
DE0 10 solar,917.1985415,solar,DE0 10
DE0 11 solar,2610.601834,solar,DE0 11
DE0 12 solar,1470.200561,solar,DE0 12
DE0 13 solar,835.081114,solar,DE0 13
DE0 14 solar,967.295609,solar,DE0 14
DE0 15 solar,1225.533212,solar,DE0 15
DE0 16 solar,1411.773804,solar,DE0 16
DE0 17 solar,1757.532456,solar,DE0 17
DE0 18 solar,1229.215723,solar,DE0 18
DE0 19 solar,1106.092715,solar,DE0 19
DE0 2 solar,1384.7770620000001,solar,DE0 2
DE0 20 solar,1201.02638,solar,DE0 20
DE0 21 solar,1857.82627,solar,DE0 21
DE0 22 solar,1317.06144,solar,DE0 22
DE0 23 solar,917.72023,solar,DE0 23
DE0 24 solar,1634.943462,solar,DE0 24
DE0 25 solar,2214.87592,solar,DE0 25
DE0 26 solar,901.192216,solar,DE0 26
DE0 27 solar,1019.856992,solar,DE0 27
DE0 28 solar,1667.852249,solar,DE0 28
DE0 29 solar,1507.397331,solar,DE0 29
DE0 3 solar,599.039329,solar,DE0 3
DE0 30 solar,1420.726086,solar,DE0 30
DE0 31 solar,2390.803872,solar,DE0 31
DE0 4 solar,3231.96903,solar,DE0 4
DE0 5 solar,1247.953783,solar,DE0 5
DE0 6 solar,2093.520522,solar,DE0 6
DE0 7 solar,1146.86813,solar,DE0 7
DE0 8 solar,1445.162386,solar,DE0 8
DE0 9 solar,862.569292,solar,DE0 9
