,bus,carrier,p_nom,year_removed
DE0 0 onwind,DE0 0,onwind,16.5,2044
DE0 0 solar,DE0 0,solar,168.371906,2044
DE0 1 onwind,DE0 1,onwind,3.6,2044
DE0 1 solar,DE0 1,solar,133.839416,2044
DE0 10 onwind,DE0 10,onwind,63.900000000000006,2044
DE0 10 solar,DE0 10,solar,46.9978955,2044
DE0 11 onwind,DE0 11,onwind,10.350000000000001,2044
DE0 11 solar,DE0 11,solar,159.582644,2044
DE0 12 onwind,DE0 12,onwind,89.75,2044
DE0 12 solar,DE0 12,solar,106.130306,2044
DE0 13 solar,DE0 13,solar,59.035855,2044
DE0 14 onwind,DE0 14,onwind,19.651,2044
DE0 14 solar,DE0 14,solar,101.381495,2044
DE0 15 offwind-dc,DE0 15,offwind-dc,278.44,2044
DE0 15 onwind,DE0 15,onwind,31.8,2044
DE0 15 solar,DE0 15,solar,92.50788,2044
DE0 16 onwind,DE0 16,onwind,22.8,2044
DE0 16 solar,DE0 16,solar,94.582444,2044
DE0 17 onwind,DE0 17,onwind,3.3,2044
DE0 17 solar,DE0 17,solar,102.438796,2044
DE0 18 onwind,DE0 18,onwind,8.8,2044
DE0 18 solar,DE0 18,solar,76.370984,2044
DE0 19 offwind-ac,DE0 19,offwind-ac,254.91,2044
DE0 19 onwind,DE0 19,onwind,46.86,2044
DE0 19 solar,DE0 19,solar,72.714422,2044
DE0 2 onwind,DE0 2,onwind,43.35,2044
DE0 2 solar,DE0 2,solar,105.073997,2044
DE0 20 onwind,DE0 20,onwind,0.001,2044
DE0 20 solar,DE0 20,solar,58.413761,2044
DE0 21 onwind,DE0 21,onwind,4.7,2044
DE0 21 solar,DE0 21,solar,93.383782,2044
DE0 22 onwind,DE0 22,onwind,10.350000000000001,2044
DE0 22 solar,DE0 22,solar,74.035357,2044
DE0 23 onwind,DE0 23,onwind,17.8798,2044
DE0 23 solar,DE0 23,solar,81.595587,2044
DE0 24 solar,DE0 24,solar,105.422502,2044
DE0 25 onwind,DE0 25,onwind,84.2635,2044
DE0 25 solar,DE0 25,solar,115.221003,2044
DE0 26 onwind,DE0 26,onwind,39.300000000000004,2044
DE0 26 solar,DE0 26,solar,33.730413,2044
DE0 27 onwind,DE0 27,onwind,29.55,2044
DE0 27 solar,DE0 27,solar,73.995028,2044
DE0 28 offwind-ac,DE0 28,offwind-ac,94.0,2044
DE0 28 offwind-dc,DE0 28,offwind-dc,63.53,2044
DE0 28 onwind,DE0 28,onwind,43.5015,2044
DE0 28 solar,DE0 28,solar,72.868404,2044
DE0 29 onwind,DE0 29,onwind,48.4,2044
DE0 29 solar,DE0 29,solar,105.651999,2044
DE0 3 onwind,DE0 3,onwind,38.06,2044
DE0 3 solar,DE0 3,solar,42.171183,2044
DE0 30 onwind,DE0 30,onwind,22.15,2044
DE0 30 solar,DE0 30,solar,132.679632,2044
DE0 31 onwind,DE0 31,onwind,2.4,2044
DE0 31 solar,DE0 31,solar,114.547692,2044
DE0 4 onwind,DE0 4,onwind,0.0015,2044
DE0 4 solar,DE0 4,solar,150.445211,2044
DE0 5 onwind,DE0 5,onwind,0.0008,2044
DE0 5 solar,DE0 5,solar,75.987169,2044
DE0 6 onwind,DE0 6,onwind,41.62,2044
DE0 6 solar,DE0 6,solar,106.677104,2044
DE0 7 solar,DE0 7,solar,95.946352,2044
DE0 8 onwind,DE0 8,onwind,10.2025,2044
DE0 8 solar,DE0 8,solar,125.528209,2044
DE0 9 onwind,DE0 9,onwind,33.550000000000004,2044
DE0 9 solar,DE0 9,solar,65.261435,2044
DE0 0 onwind,DE0 0,onwind,23.3,2043
DE0 0 solar,DE0 0,solar,187.370483,2043
DE0 1 onwind,DE0 1,onwind,19.21,2043
DE0 1 solar,DE0 1,solar,122.707978,2043
DE0 10 onwind,DE0 10,onwind,74.05,2043
DE0 10 solar,DE0 10,solar,43.108206,2043
DE0 11 onwind,DE0 11,onwind,18.03,2043
DE0 11 solar,DE0 11,solar,123.761377,2043
DE0 12 onwind,DE0 12,onwind,70.0,2043
DE0 12 solar,DE0 12,solar,159.841692,2043
DE0 13 onwind,DE0 13,onwind,18.685,2043
DE0 13 solar,DE0 13,solar,44.501757,2043
DE0 14 onwind,DE0 14,onwind,31.051000000000002,2043
DE0 14 solar,DE0 14,solar,83.563376,2043
DE0 15 offwind-ac,DE0 15,offwind-ac,323.3,2043
DE0 15 offwind-dc,DE0 15,offwind-dc,273.5,2043
DE0 15 onwind,DE0 15,onwind,352.0298,2043
DE0 15 solar,DE0 15,solar,49.744258,2043
DE0 16 onwind,DE0 16,onwind,217.18,2043
DE0 16 solar,DE0 16,solar,62.957687,2043
DE0 17 onwind,DE0 17,onwind,100.25048,2043
DE0 17 solar,DE0 17,solar,71.35368,2043
DE0 18 onwind,DE0 18,onwind,52.35,2043
DE0 18 solar,DE0 18,solar,70.700393,2043
DE0 19 offwind-ac,DE0 19,offwind-ac,44.1,2043
DE0 19 onwind,DE0 19,onwind,215.55,2043
DE0 19 solar,DE0 19,solar,42.41907,2043
DE0 2 onwind,DE0 2,onwind,70.01,2043
DE0 2 solar,DE0 2,solar,71.840295,2043
DE0 20 onwind,DE0 20,onwind,3.05,2043
DE0 20 solar,DE0 20,solar,64.982352,2043
DE0 21 solar,DE0 21,solar,106.685494,2043
DE0 22 onwind,DE0 22,onwind,32.7024,2043
DE0 22 solar,DE0 22,solar,54.707036,2043
DE0 23 onwind,DE0 23,onwind,50.550000000000004,2043
DE0 23 solar,DE0 23,solar,82.692796,2043
DE0 24 onwind,DE0 24,onwind,7.199999999999999,2043
DE0 24 solar,DE0 24,solar,98.140775,2043
DE0 25 onwind,DE0 25,onwind,68.415,2043
DE0 25 solar,DE0 25,solar,160.269386,2043
DE0 26 onwind,DE0 26,onwind,116.375,2043
DE0 26 solar,DE0 26,solar,38.270263,2043
DE0 27 onwind,DE0 27,onwind,108.9,2043
DE0 27 solar,DE0 27,solar,106.504968,2043
DE0 28 offwind-ac,DE0 28,offwind-ac,126.0,2043
DE0 28 offwind-dc,DE0 28,offwind-dc,207.9,2043
DE0 28 onwind,DE0 28,onwind,153.1882,2043
DE0 28 solar,DE0 28,solar,93.293289,2043
DE0 29 onwind,DE0 29,onwind,95.7,2043
DE0 29 solar,DE0 29,solar,74.706699,2043
DE0 3 onwind,DE0 3,onwind,61.97,2043
DE0 3 solar,DE0 3,solar,38.615793,2043
DE0 30 onwind,DE0 30,onwind,69.071,2043
DE0 30 solar,DE0 30,solar,77.860744,2043
DE0 31 solar,DE0 31,solar,98.867885,2043
DE0 4 onwind,DE0 4,onwind,7.202,2043
DE0 4 solar,DE0 4,solar,127.896242,2043
DE0 5 onwind,DE0 5,onwind,6.0,2043
DE0 5 solar,DE0 5,solar,66.012797,2043
DE0 6 onwind,DE0 6,onwind,150.875,2043
DE0 6 solar,DE0 6,solar,184.996834,2043
DE0 7 onwind,DE0 7,onwind,57.4,2043
DE0 7 solar,DE0 7,solar,63.892624,2043
DE0 8 onwind,DE0 8,onwind,42.050000000000004,2043
DE0 8 solar,DE0 8,solar,113.014933,2043
DE0 9 onwind,DE0 9,onwind,34.55,2043
DE0 9 solar,DE0 9,solar,61.805997,2043
DE0 0 onwind,DE0 0,onwind,173.85,2042
DE0 0 solar,DE0 0,solar,77.726696,2042
DE0 1 onwind,DE0 1,onwind,203.35999999999999,2042
DE0 1 solar,DE0 1,solar,57.382426,2042
DE0 10 onwind,DE0 10,onwind,127.7808,2042
DE0 10 solar,DE0 10,solar,22.37706,2042
DE0 11 onwind,DE0 11,onwind,18.6,2042
DE0 11 solar,DE0 11,solar,61.006904999999996,2042
DE0 12 onwind,DE0 12,onwind,330.6325,2042
DE0 12 solar,DE0 12,solar,65.291924,2042
DE0 13 onwind,DE0 13,onwind,90.69,2042
DE0 13 solar,DE0 13,solar,22.349585,2042
DE0 14 onwind,DE0 14,onwind,74.405,2042
DE0 14 solar,DE0 14,solar,41.358305,2042
DE0 15 offwind-dc,DE0 15,offwind-dc,284.55,2042
DE0 15 onwind,DE0 15,onwind,342.2,2042
