,carrier,p_nom,bus
DE0 0 CCGT,CCGT,629.102679908,DE0 0
DE0 1 CCGT,CCGT,12.340284754,DE0 1
DE0 10 CCGT,CCGT,48.857453924,DE0 10
DE0 12 CCGT,CCGT,135.99497484,DE0 12
DE0 14 CCGT,CCGT,137.380108843,DE0 14
DE0 15 CCGT,CCGT,2313.17378501,DE0 15
DE0 16 CCGT,CCGT,185.10427131,DE0 16
DE0 17 CCGT,CCGT,153.62395306,DE0 17
DE0 18 CCGT,CCGT,2511.877553804,DE0 18
DE0 19 CCGT,CCGT,578.356406889,DE0 19
DE0 2 CCGT,CCGT,4439.8581647070005,DE0 2
DE0 21 CCGT,CCGT,850.220435296,DE0 21
DE0 22 CCGT,CCGT,444.50209369,DE0 22
DE0 23 CCGT,CCGT,229.17671686,DE0 23
DE0 24 CCGT,CCGT,224.51762975900002,DE0 24
DE0 25 CCGT,CCGT,481.01926286,DE0 25
DE0 26 CCGT,CCGT,94.44095475,DE0 26
DE0 27 CCGT,CCGT,94.44095475,DE0 27
DE0 28 CCGT,CCGT,295.91499154999997,DE0 28
DE0 29 CCGT,CCGT,3116.2996642040002,DE0 29
DE0 3 CCGT,CCGT,159.92001671,DE0 3
DE0 30 CCGT,CCGT,628.34715227,DE0 30
DE0 31 CCGT,CCGT,1771.71231111,DE0 31
DE0 4 CCGT,CCGT,363.282872605,DE0 4
DE0 5 CCGT,CCGT,50.3685092,DE0 5
DE0 6 CCGT,CCGT,760.56448892,DE0 6
DE0 7 CCGT,CCGT,184.474664945,DE0 7
DE0 8 CCGT,CCGT,410.6418633803,DE0 8
DE0 9 CCGT,CCGT,424.35469001,DE0 9
DE0 0 OCGT,OCGT,136.246817386,DE0 0
DE0 1 OCGT,OCGT,536.046859161,DE0 1
DE0 10 OCGT,OCGT,39.161515902999994,DE0 10
DE0 11 OCGT,OCGT,23.799120597,DE0 11
DE0 12 OCGT,OCGT,113.20322442700001,DE0 12
DE0 14 OCGT,OCGT,949.824162239,DE0 14
DE0 15 OCGT,OCGT,105.899790593,DE0 15
DE0 16 OCGT,OCGT,194.29652423899998,DE0 16
DE0 18 OCGT,OCGT,578.230485616,DE0 18
DE0 19 OCGT,OCGT,477.9719680534,DE0 19
DE0 2 OCGT,OCGT,2193.422654387,DE0 2
DE0 21 OCGT,OCGT,308.368232228756,DE0 21
DE0 22 OCGT,OCGT,149.21670850499999,DE0 22
DE0 23 OCGT,OCGT,122.521398629,DE0 23
DE0 24 OCGT,OCGT,71.77512561,DE0 24
DE0 25 OCGT,OCGT,43.190996639,DE0 25
DE0 26 OCGT,OCGT,76.308291438,DE0 26
DE0 27 OCGT,OCGT,85.374623094,DE0 27
DE0 28 OCGT,OCGT,65.730904506,DE0 28
DE0 29 OCGT,OCGT,31.48031825,DE0 29
DE0 3 OCGT,OCGT,14.355025122,DE0 3
DE0 30 OCGT,OCGT,457.346063536,DE0 30
DE0 31 OCGT,OCGT,214.947613011,DE0 31
DE0 4 OCGT,OCGT,128.943383552,DE0 4
DE0 5 OCGT,OCGT,37.7763819,DE0 5
DE0 6 OCGT,OCGT,903.233291229,DE0 6
DE0 7 OCGT,OCGT,28.96189279,DE0 7
DE0 8 OCGT,OCGT,99.603726943,DE0 8
DE0 9 OCGT,OCGT,158.912646526,DE0 9
