,p_nom,carrier,bus
DE0 0 biomass,252.97076,biomass,DE0 0
DE0 1 biomass,250.7947,biomass,DE0 1
DE0 10 biomass,68.7973,biomass,DE0 10
DE0 11 biomass,398.64186,biomass,DE0 11
DE0 12 biomass,453.6585,biomass,DE0 12
DE0 13 biomass,67.27420000000001,biomass,DE0 13
DE0 14 biomass,101.8951,biomass,DE0 14
DE0 15 biomass,371.7995,biomass,DE0 15
DE0 16 biomass,219.7903,biomass,DE0 16
DE0 17 biomass,141.67932,biomass,DE0 17
DE0 18 biomass,166.48952,biomass,DE0 18
DE0 19 biomass,405.722505,biomass,DE0 19
DE0 2 biomass,147.550931,biomass,DE0 2
DE0 20 biomass,217.29946,biomass,DE0 20
DE0 21 biomass,320.18416,biomass,DE0 21
DE0 22 biomass,96.69085,biomass,DE0 22
DE0 23 biomass,195.31719999999999,biomass,DE0 23
DE0 24 biomass,237.42285,biomass,DE0 24
DE0 25 biomass,160.0961,biomass,DE0 25
DE0 26 biomass,62.4133,biomass,DE0 26
DE0 27 biomass,139.04135,biomass,DE0 27
DE0 28 biomass,536.3423,biomass,DE0 28
DE0 29 biomass,238.46856,biomass,DE0 29
DE0 3 biomass,338.5539,biomass,DE0 3
DE0 30 biomass,273.9266,biomass,DE0 30
DE0 31 biomass,400.2803,biomass,DE0 31
DE0 4 biomass,272.4976,biomass,DE0 4
DE0 5 biomass,166.8201,biomass,DE0 5
DE0 6 biomass,352.5178,biomass,DE0 6
DE0 7 biomass,356.4589,biomass,DE0 7
DE0 8 biomass,198.9135,biomass,DE0 8
DE0 9 biomass,340.277,biomass,DE0 9
