,p_nom,carrier,bus
DE0 11 offwind-ac,392.28,offwind-ac,DE0 11
DE0 12 offwind-ac,2014.102,offwind-ac,DE0 12
DE0 2 offwind-ac,1128.104,offwind-ac,DE0 2
DE0 11 offwind-dc,359.63,offwind-dc,DE0 11
DE0 12 offwind-dc,2074.328,offwind-dc,DE0 12
DE0 2 offwind-dc,1102.164,offwind-dc,DE0 2
DE0 0 onwind,1166.810875,onwind,DE0 0
DE0 1 onwind,2703.36464,onwind,DE0 1
DE0 10 onwind,2939.5484,onwind,DE0 10
DE0 11 onwind,7267.613165,onwind,DE0 11
DE0 12 onwind,7927.6364,onwind,DE0 12
DE0 13 onwind,268.37663,onwind,DE0 13
DE0 14 onwind,3107.01215,onwind,DE0 14
DE0 15 onwind,1185.99939,onwind,DE0 15
DE0 2 onwind,9521.519769999999,onwind,DE0 2
DE0 3 onwind,1280.34475,onwind,DE0 3
DE0 4 onwind,4823.31156,onwind,DE0 4
DE0 5 onwind,298.62615,onwind,DE0 5
DE0 6 onwind,1884.47993,onwind,DE0 6
DE0 7 onwind,2840.47336,onwind,DE0 7
DE0 8 onwind,753.206943,onwind,DE0 8
DE0 9 onwind,5038.5788999999995,onwind,DE0 9
DE0 0 solar,2930.417533,solar,DE0 0
DE0 1 solar,2855.70314,solar,DE0 1
DE0 10 solar,1608.698741,solar,DE0 10
DE0 11 solar,3922.415823,solar,DE0 11
DE0 12 solar,3454.132155,solar,DE0 12
DE0 13 solar,6958.473357,solar,DE0 13
DE0 14 solar,2248.406259,solar,DE0 14
DE0 15 solar,1371.332736,solar,DE0 15
DE0 2 solar,2626.608354,solar,DE0 2
DE0 3 solar,2445.1581475,solar,DE0 3
DE0 4 solar,4438.903894,solar,DE0 4
DE0 5 solar,1480.583633,solar,DE0 5
DE0 6 solar,2563.042809,solar,DE0 6
DE0 7 solar,2453.407876,solar,DE0 7
DE0 8 solar,4457.213657,solar,DE0 8
DE0 9 solar,2090.542303,solar,DE0 9
