,carrier,p_nom,bus
DE0 0 CCGT,CCGT,224.51762975900002,DE0 0
DE0 1 CCGT,CCGT,5199.28936217,DE0 1
DE0 10 CCGT,CCGT,143.298408674,DE0 10
DE0 11 CCGT,CCGT,991.00041851,DE0 11
DE0 12 CCGT,CCGT,3076.0048568439997,DE0 12
DE0 13 CCGT,CCGT,2985.215619011,DE0 13
DE0 14 CCGT,CCGT,232.32474868499997,DE0 14
DE0 15 CCGT,CCGT,2937.995141636,DE0 15
DE0 2 CCGT,CCGT,455.83500826,DE0 2
DE0 3 CCGT,CCGT,2771.275376184,DE0 3
DE0 4 CCGT,CCGT,1034.0780860033,DE0 4
DE0 5 CCGT,CCGT,50.3685092,DE0 5
DE0 6 CCGT,CCGT,338.72822437,DE0 6
DE0 7 CCGT,CCGT,550.401884283,DE0 7
DE0 8 CCGT,CCGT,12.340284754,DE0 8
DE0 9 CCGT,CCGT,727.195351575,DE0 9
DE0 0 OCGT,OCGT,71.77512561,DE0 0
DE0 1 OCGT,OCGT,2650.7687179229997,DE0 1
DE0 10 OCGT,OCGT,100.862939673,DE0 10
DE0 11 OCGT,OCGT,988.607914323,DE0 11
DE0 12 OCGT,OCGT,583.8717586463999,DE0 12
DE0 13 OCGT,OCGT,652.259228791756,DE0 13
DE0 14 OCGT,OCGT,164.075418719,DE0 14
DE0 2 OCGT,OCGT,151.231448873,DE0 2
DE0 3 OCGT,OCGT,727.699036667,DE0 3
DE0 4 OCGT,OCGT,193.163232782,DE0 4
DE0 5 OCGT,OCGT,37.7763819,DE0 5
DE0 6 OCGT,OCGT,14.355025122,DE0 6
DE0 7 OCGT,OCGT,1163.008877428,DE0 7
DE0 8 OCGT,OCGT,559.845979758,DE0 8
DE0 9 OCGT,OCGT,286.848659894,DE0 9
