,bus,carrier,p_nom,year_removed
DE0 1 solar,DE0 1,solar,0.13038,2020
DE0 2 onwind,DE0 2,onwind,1.76,2020
DE0 2 solar,DE0 2,solar,0.0759,2020
DE0 4 onwind,DE0 4,onwind,12.08,2020
DE0 4 solar,DE0 4,solar,0.148346,2020
DE0 7 onwind,DE0 7,onwind,10.53,2020
DE0 7 solar,DE0 7,solar,0.0315,2020
DE0 8 onwind,DE0 8,onwind,23.18,2020
DE0 8 solar,DE0 8,solar,0.038233,2020
DE0 9 onwind,DE0 9,onwind,63.178,2020
DE0 9 solar,DE0 9,solar,0.09387,2020
DE0 A onwind,DE0 A,onwind,30.43,2020
DE0 A solar,DE0 A,solar,0.57464,2020
DE0 B onwind,DE0 B,onwind,3.4699999999999998,2020
DE0 B solar,DE0 B,solar,0.02504,2020
DE0 C onwind,DE0 C,onwind,1.54,2020
DE0 C solar,DE0 C,solar,0.011349999999999999,2020
DE0 D onwind,DE0 D,onwind,20.965,2020
DE0 D solar,DE0 D,solar,0.01134,2020
DE0 E onwind,DE0 E,onwind,6.18,2020
DE0 E solar,DE0 E,solar,0.040501,2020
DE0 F onwind,DE0 F,onwind,94.488,2020
DE0 F solar,DE0 F,solar,0.12457,2020
DE0 G onwind,DE0 G,onwind,7.904999999999999,2020
DE0 G solar,DE0 G,solar,0.06530999999999999,2020
DE0 1 onwind,DE0 1,onwind,1.137,2021
DE0 1 solar,DE0 1,solar,0.821686,2021
DE0 2 onwind,DE0 2,onwind,0.18,2021
DE0 2 solar,DE0 2,solar,0.492005,2021
DE0 4 onwind,DE0 4,onwind,16.6,2021
DE0 4 solar,DE0 4,solar,0.09068,2021
DE0 7 onwind,DE0 7,onwind,26.900000000000002,2021
DE0 7 solar,DE0 7,solar,0.07804,2021
DE0 8 onwind,DE0 8,onwind,22.88,2021
DE0 8 solar,DE0 8,solar,0.037567,2021
DE0 9 onwind,DE0 9,onwind,46.393,2021
DE0 9 solar,DE0 9,solar,0.410618,2021
DE0 A onwind,DE0 A,onwind,28.44804,2021
DE0 A solar,DE0 A,solar,1.87506,2021
DE0 B onwind,DE0 B,onwind,3.65,2021
DE0 B solar,DE0 B,solar,0.05875,2021
DE0 C onwind,DE0 C,onwind,2.25,2021
DE0 C solar,DE0 C,solar,0.04708,2021
DE0 D onwind,DE0 D,onwind,28.2,2021
DE0 D solar,DE0 D,solar,0.062608,2021
DE0 E onwind,DE0 E,onwind,15.35,2021
DE0 E solar,DE0 E,solar,0.0095,2021
DE0 F onwind,DE0 F,onwind,24.4,2021
DE0 F solar,DE0 F,solar,0.248615,2021
DE0 G onwind,DE0 G,onwind,16.537,2021
DE0 G solar,DE0 G,solar,0.0403,2021
DE0 1 onwind,DE0 1,onwind,2.4,2022
DE0 1 solar,DE0 1,solar,0.546755,2022
DE0 2 onwind,DE0 2,onwind,1.67,2022
DE0 2 solar,DE0 2,solar,1.837818,2022
DE0 4 onwind,DE0 4,onwind,8.1,2022
DE0 4 solar,DE0 4,solar,0.190746,2022
DE0 7 onwind,DE0 7,onwind,18.0,2022
DE0 7 solar,DE0 7,solar,0.16154,2022
DE0 8 onwind,DE0 8,onwind,22.5,2022
