,p_nom,carrier,bus
DE0 1 biomass,852.27895,biomass,DE0 1
DE0 2 biomass,1722.42525,biomass,DE0 2
DE0 4 biomass,483.8052,biomass,DE0 4
DE0 7 biomass,281.92132,biomass,DE0 7
DE0 8 biomass,361.99885,biomass,DE0 8
DE0 9 biomass,1617.7979050000001,biomass,DE0 9
DE0 A biomass,852.874591,biomass,DE0 A
DE0 B biomass,171.4152,biomass,DE0 B
DE0 C biomass,12.1564,biomass,DE0 C
DE0 D biomass,276.8792,biomass,DE0 D
DE0 E biomass,483.15266,biomass,DE0 E
DE0 F biomass,572.1632,biomass,DE0 F
DE0 G biomass,261.5376,biomass,DE0 G
